1_G137.1;3_G36.31;6_G63.29;2_G-56.47;8_G40.43
64.6;72.4;85.8;0;0
59.2;72.3;85.9;0;0
50.7;72.8;86;0;0
43.6;73.7;86;0;0
41.4;74.8;86.1;0;0
38.3;75.9;86.2;0;0
35;76.7;86.2;0;0
32.6;77.2;86.3;0;0
27.8;77.3;86.4;0;0
22.9;77.1;86.4;0;0
20.2;76.8;86.5;0;0
17.4;76.4;86.6;0;0
15.2;75.8;86.6;0;0
14.3;75.3;86.7;0;0
13.4;74.8;86.8;0;0
13.3;74.5;86.8;0;0
14.1;74.2;86.9;0;0
14.3;74.2;87;0;0
14.3;74.5;87;0;0
14.9;75;87.1;0;0
14.7;75.7;87.2;0;0
14.4;76.5;87.2;0.1;0.1
14.5;77.1;87.3;0.6;0.4
13.7;77.6;87.4;1.6;1.1
12.5;77.8;87.4;3.4;2.2
11.7;77.6;87.5;5.8;3.8
11.1;77.2;87.6;8.4;5.6
11.1;76.4;87.6;11;7.5
11.8;75.6;87.7;13.2;9.4
12.3;74.7;87.8;15;11.2
12.8;73.7;87.8;16.3;13
13.8;72.9;87.9;17.1;14.6
14.3;72.1;88;17.5;16
15.1;71.4;88.1;17.6;17.2
16.4;70.9;88.1;17.5;18.2
18.1;70.5;88.2;17.1;19
20;70.3;88.3;16.5;19.6
22.5;70.2;88.4;15.8;19.9
25.8;70.3;88.5;15;19.9
26.5;70.4;88.6;14.1;19.5
22.5;70.5;88.6;12.9;18.7
19.6;70.6;88.7;11.6;17.5
19.4;70.5;88.8;10.1;15.8
21.8;70.3;88.9;8.4;13.5
23.1;69.9;89;6.6;10.8
24.9;69.4;89.1;4.7;7.9
28.5;68.8;89.2;3;5
31;68.3;89.2;1.5;2.5
32.3;67.7;89.3;0.5;0.8
33.1;67.1;89.4;0.1;0.1
33.2;66.6;89.4;0;0
34.1;66.3;89.5;0;0
36.6;66;89.5;0;0
40.1;66;89.6;0;0
44;66.2;89.6;0;0
47.9;66.6;89.7;0;0
52.6;67.2;89.7;0;0
56.5;67.9;89.8;0;0
58.2;68.6;89.8;0;0
58.5;69.3;89.9;0;0
57.5;69.8;90;0;0
55.3;70.2;90;0;0
53.8;70.4;90.1;0;0
52.6;70.5;90.1;0;0
51;70.3;90.2;0;0
49.5;70;90.2;0;0
49.2;69.4;90.3;0;0
51.3;68.7;90.3;0;0
59.4;67.9;90.4;0;0
65.9;67.1;90.5;0;0
64.2;66.3;90.5;0;0
64.1;65.6;90.6;0;0
63.2;65.1;90.6;0;0
58.3;64.8;90.7;0;0
50.8;64.7;90.7;0;0
45;64.6;90.8;0;0
44.3;64.7;90.8;0;0
42.7;64.6;90.9;0;0
41;64.5;90.9;0;0
40.2;64.3;91;0;0
36.5;64;91.1;0;0
32.4;63.7;91.1;0;0
30.3;63.4;91.2;0;0
28.1;63.2;91.2;0;0
26.7;63.1;91.3;0;0
26.9;63.2;91.3;0;0
27.5;63.3;91.4;0;0
29.8;63.4;91.4;0;0
34.8;63.5;91.5;0;0
39;63.5;91.6;0;0
44.7;63.4;91.6;0;0
53.7;63.1;91.7;0;0
61.8;62.6;91.8;0;0
69.1;62.1;91.9;0.1;0.1
75.6;61.5;91.9;0.6;0.8
78.9;60.9;92;1.6;2.1
79.1;60.3;92.1;3.3;4.2
77.1;59.8;92.1;5.5;7.1
74.1;59.3;92.2;8;10.4
71.1;59;92.3;10.3;13.6
68.6;58.7;92.3;12.3;16.5
65.6;58.6;92.4;14;19.1
62.2;58.6;92.5;15.5;21.5
58.8;58.7;92.5;16.9;23.7
56.1;58.9;92.6;17.9;25.5
54.6;59.1;92.7;18.6;26.6
54.6;59.2;92.8;18.8;26.9
56.3;59.3;92.8;18.7;26.6
57.9;59.2;92.9;18.4;25.9
58.2;58.8;93;18;24.9
61;58.4;93;17.6;23.7
63.6;57.8;93.1;17.1;22.3
63.6;57.1;93.2;16.3;20.6
65.4;56.3;93.2;15.2;18.5
69.5;55.6;93.3;13.6;15.9
74.8;54.8;93.4;11.4;12.8
78.3;54.1;93.5;8.8;9.5
81.2;53.5;93.5;6.2;6.5
85;52.9;93.6;4;4
87.2;52.5;93.7;2.1;2.1
88.1;52.1;93.7;0.9;0.9
88.1;52;93.8;0.3;0.3
87.6;51.9;93.9;0;0
87.4;52;93.9;0;0
88.2;52.1;94;0;0
90.3;52.2;94.1;0;0
93.1;52.4;94.1;0;0
96.1;52.5;94.2;0;0
100.9;52.7;94.3;0;0
104.6;52.8;94.4;0;0
104.4;53;94.4;0;0
102.4;53.1;94.5;0;0
98.8;53.1;94.6;0;0
94.1;53.2;94.6;0;0
