2_C-10.61;3_C151.15;4_C-9.47;5_C201.84;6_C-6.27;9_C130.49;10_C228.66;11_C-138.89;12_C-27.88;13_C-13.33;14_C63.6
18;82.8;43.1;6.7;9.8;27.5;7.4;3;4.9;11.2;14
17.5;80.6;42;6.5;9.5;26.8;7.2;2.9;4.8;10.9;13.6
16.9;77.6;40.4;6.3;9.2;25.8;6.9;2.8;4.6;10.5;13.1
16.4;75.4;39.3;6.1;8.9;25.1;6.7;2.7;4.5;10.2;12.7
16.3;75.1;39.1;6.1;8.9;25;6.7;2.7;4.4;10.2;12.7
16.2;74.6;38.8;6;8.8;24.8;6.7;2.7;4.4;10.1;12.6
16.1;74;38.5;6;8.8;24.6;6.6;2.7;4.4;10;12.5
16;73.6;38.3;5.9;8.7;24.5;6.6;2.6;4.4;10;12.4
15.7;72.2;37.6;5.8;8.6;24;6.5;2.6;4.3;9.8;12.2
15.4;70.6;36.8;5.7;8.4;23.5;6.3;2.5;4.2;9.6;11.9
15.2;69.8;36.4;5.6;8.3;23.2;6.2;2.5;4.1;9.5;11.8
15;69;35.9;5.6;8.2;22.9;6.2;2.5;4.1;9.3;11.6
14.9;68.4;35.6;5.5;8.1;22.7;6.1;2.5;4.1;9.3;11.5
14.9;68.4;35.6;5.5;8.1;22.7;6.1;2.5;4.1;9.3;11.5
14.9;68.5;35.7;5.5;8.1;22.8;6.1;2.5;4.1;9.3;11.6
15.1;69.2;36.1;5.6;8.2;23;6.2;2.5;4.1;9.4;11.7
15.5;70.9;37;5.7;8.4;23.6;6.4;2.5;4.2;9.6;12
15.8;72.3;37.7;5.8;8.6;24;6.5;2.6;4.3;9.8;12.2
16.2;74.2;38.6;6;8.8;24.7;6.6;2.7;4.4;10.1;12.5
16.9;77.3;40.3;6.2;9.2;25.7;6.9;2.8;4.6;10.5;13.1
17.5;80;41.7;6.5;9.5;26.6;7.2;2.9;4.8;10.9;13.5
18;82.6;43;6.7;9.8;27.5;7.4;3;4.9;11.2;14
18.6;85.3;44.4;6.9;10.1;28.4;7.7;3.1;5.1;11.6;14.4
19;87;45.4;7;10.3;28.9;7.8;3.1;5.2;11.8;14.7
19.3;88.1;45.9;7.1;10.5;29.3;7.9;3.2;5.2;12;14.9
19.4;88.9;46.4;7.2;10.6;29.6;8;3.2;5.3;12.1;15
19.6;89.6;46.7;7.2;10.6;29.8;8;3.2;5.3;12.2;15.1
19.7;90.2;47;7.3;10.7;30;8.1;3.2;5.4;12.3;15.2
19.9;90.8;47.3;7.3;10.8;30.2;8.2;3.3;5.4;12.3;15.3
19.9;91;47.5;7.4;10.8;30.3;8.2;3.3;5.4;12.4;15.4
19.9;91.1;47.5;7.4;10.8;30.3;8.2;3.3;5.4;12.4;15.4
19.9;91.1;47.5;7.4;10.8;30.3;8.2;3.3;5.4;12.4;15.4
19.9;91.1;47.5;7.4;10.8;30.3;8.2;3.3;5.4;12.4;15.4
20;91.2;47.5;7.4;10.8;30.3;8.2;3.3;5.4;12.4;15.4
20;91.4;47.7;7.4;10.9;30.4;8.2;3.3;5.5;12.4;15.4
20.1;91.8;47.9;7.4;10.9;30.5;8.3;3.3;5.5;12.5;15.5
20.1;91.8;47.9;7.4;10.9;30.5;8.3;3.3;5.5;12.5;15.5
20;91.1;47.5;7.4;10.8;30.3;8.2;3.3;5.4;12.4;15.4
20;91.2;47.6;7.4;10.8;30.4;8.2;3.3;5.4;12.4;15.4
20;91.1;47.5;7.4;10.8;30.3;8.2;3.3;5.4;12.4;15.4
19.7;90;47;7.3;10.7;30;8.1;3.2;5.4;12.3;15.2
19.6;89.2;46.6;7.2;10.6;29.7;8;3.2;5.3;12.2;15.1
19.5;88.9;46.4;7.2;10.6;29.6;8;3.2;5.3;12.1;15
19.5;88.8;46.3;7.2;10.6;29.5;8;3.2;5.3;12.1;15
19.3;87.7;45.8;7.1;10.4;29.2;7.9;3.2;5.2;12;14.8
19;86.5;45.1;7;10.3;28.8;7.8;3.1;5.2;11.8;14.6
18.9;86;44.9;7;10.2;28.6;7.8;3.1;5.1;11.7;14.5
18.7;85.3;44.5;6.9;10.2;28.4;7.7;3.1;5.1;11.6;14.4
18.6;84.6;44.2;6.9;10.1;28.2;7.7;3;5.1;11.5;14.3
18.5;84.2;43.9;6.8;10;28;7.6;3;5;11.5;14.2
18.4;83.8;43.8;6.8;10;27.9;7.6;3;5;11.4;14.2
18.4;83.8;43.7;6.8;10;27.9;7.6;3;5;11.4;14.2
18.5;84.1;43.9;6.8;10;28;7.6;3;5;11.5;14.2
18.7;85;44.4;6.9;10.1;28.3;7.7;3.1;5.1;11.6;14.4
18.9;86;44.9;7;10.2;28.6;7.8;3.1;5.2;11.7;14.5
19.2;87.1;45.5;7.1;10.4;29;7.9;3.1;5.2;11.9;14.7
19.5;88.8;46.3;7.2;10.6;29.6;8;3.2;5.3;12.1;15
19.8;90.1;47;7.3;10.7;30;8.2;3.2;5.4;12.3;15.2
19.8;89.9;47;7.3;10.7;30;8.2;3.2;5.4;12.3;15.2
