2_C-10.61;3_C151.15;4_C-9.47;5_C201.84;6_C-6.27;9_C130.49;10_C228.66;11_C-138.89;12_C-27.88;13_C-13.33;14_C63.6
18.2;79.5;42.8;6.8;9.5;25.6;7.4;3.1;5.4;11.7;12.7
17.3;75.5;40.6;6.4;9;24.3;7;2.9;5.2;11.1;12
16.6;72.4;38.9;6.2;8.7;23.3;6.8;2.8;4.9;10.6;11.5
16.4;71.6;38.5;6.1;8.6;23;6.7;2.7;4.9;10.5;11.4
16.2;70.8;38.1;6;8.5;22.8;6.6;2.7;4.8;10.4;11.3
15.6;68.2;36.7;5.8;8.2;22;6.4;2.6;4.7;10;10.9
15.3;66.8;35.9;5.7;8;21.5;6.2;2.6;4.6;9.8;10.6
15.1;65.7;35.3;5.6;7.9;21.1;6.1;2.5;4.5;9.6;10.4
15.1;65.8;35.4;5.6;7.9;21.2;6.1;2.5;4.5;9.7;10.5
15.5;67.5;36.3;5.7;8.1;21.7;6.3;2.6;4.6;9.9;10.7
16;69.8;37.6;5.9;8.4;22.4;6.5;2.7;4.8;10.3;11.1
17;74.2;39.9;6.3;8.9;23.9;6.9;2.9;5.1;10.9;11.8
17.9;78.2;42.1;6.7;9.4;25.2;7.3;3;5.3;11.5;12.4
18.8;82;44.1;7;9.8;26.4;7.7;3.2;5.6;12;13
19.2;83.7;45.1;7.1;10;26.9;7.8;3.2;5.7;12.3;13.3
19.4;84.9;45.7;7.2;10.2;27.3;7.9;3.3;5.8;12.5;13.5
19.7;86;46.3;7.3;10.3;27.7;8;3.3;5.9;12.6;13.7
19.8;86.4;46.5;7.4;10.4;27.8;8.1;3.3;5.9;12.7;13.7
19.8;86.5;46.6;7.4;10.4;27.8;8.1;3.3;5.9;12.7;13.7
19.8;86.5;46.6;7.4;10.4;27.8;8.1;3.3;5.9;12.7;13.7
19.9;86.9;46.8;7.4;10.4;27.9;8.1;3.3;5.9;12.8;13.8
19.8;86.5;46.6;7.4;10.4;27.8;8.1;3.3;5.9;12.7;13.7
19.9;86.7;46.7;7.4;10.4;27.9;8.1;3.3;5.9;12.7;13.8
19.4;84.8;45.7;7.2;10.2;27.3;7.9;3.3;5.8;12.5;13.5
19.2;83.7;45.1;7.1;10;26.9;7.8;3.2;5.7;12.3;13.3
19;82.7;44.6;7;9.9;26.6;7.7;3.2;5.7;12.2;13.1
18.5;80.8;43.6;6.9;9.7;26;7.6;3.1;5.5;11.9;12.8
18.3;79.7;42.9;6.8;9.6;25.6;7.4;3.1;5.4;11.7;12.6
18;78.5;42.3;6.7;9.4;25.3;7.3;3;5.4;11.5;12.5
17.9;78.2;42.1;6.7;9.4;25.1;7.3;3;5.3;11.5;12.4
18.1;79;42.6;6.7;9.5;25.4;7.4;3;5.4;11.6;12.5
18.5;80.7;43.5;6.9;9.7;25.9;7.5;3.1;5.5;11.9;12.8
18.9;82.5;44.5;7;9.9;26.5;7.7;3.2;5.6;12.1;13.1
19.1;83.4;45;7.1;10;26.8;7.8;3.2;5.7;12.2;13.2
18.9;82.3;44.4;7;9.9;26.5;7.7;3.2;5.6;12.1;13
18.3;80.1;43.2;6.8;9.6;25.7;7.5;3.1;5.5;11.8;12.7
17.9;78.1;42.2;6.7;9.4;25.1;7.3;3;5.3;11.5;12.4
17.6;76.7;41.4;6.5;9.2;24.7;7.2;3;5.3;11.3;12.2
17.4;76;41;6.5;9.1;24.4;7.1;2.9;5.2;11.2;12
18.2;79.6;42.9;6.8;9.6;25.6;7.4;3.1;5.4;11.7;12.6
18.3;79.7;43;6.8;9.6;25.6;7.5;3.1;5.5;11.7;12.6
18.1;78.9;42.6;6.7;9.5;25.4;7.4;3;5.4;11.6;12.5
17.2;75;40.5;6.4;9;24.1;7;2.9;5.1;11;11.9
16.3;71;38.3;6;8.5;22.8;6.6;2.7;4.9;10.4;11.2
16.1;70.1;37.8;6;8.4;22.5;6.6;2.7;4.8;10.3;11.1
15.8;69;37.2;5.9;8.3;22.2;6.4;2.7;4.7;10.1;10.9
15.2;66.4;35.8;5.7;8;21.3;6.2;2.6;4.5;9.7;10.5
