2_C-10.61;3_C151.15;4_C-9.47;5_C201.84;6_C-6.27;9_C130.49;10_C228.66;11_C-138.89;12_C-27.88;13_C-13.33;14_C63.6
12.7;55.7;29.7;4.1;6.3;16.7;5.2;2;3.5;7.5;8.3
12.6;53.5;29;4.1;6.1;16.5;5;2;3.5;7.5;8.2
12.2;52.2;28.1;3.9;5.9;15.9;4.8;1.9;3.3;7.2;8
11.8;50.2;26.7;3.7;5.8;15.2;4.6;1.9;3.2;7.1;7.8
11.7;50.8;26.4;3.8;5.7;15.5;4.7;1.9;3.2;7.1;7.9
11.5;50;27.1;3.7;5.7;15.3;4.6;1.9;3.2;6.8;7.8
11.6;49.7;26.1;3.7;5.7;15.1;4.5;1.8;3.1;6.9;7.7
11.2;48.9;26.2;3.7;5.6;15;4.6;1.9;3.1;6.8;7.6
11.4;48.6;26.1;3.6;5.5;14.8;4.5;1.8;3.1;6.6;7.6
11.1;47;25.4;3.6;5.4;14.3;4.3;1.8;3;6.4;7.4
11;46.9;24.8;3.5;5.3;14;4.2;1.7;3;6.4;7.2
10.9;45.5;24.4;3.4;5.3;14;4.3;1.7;2.9;6.3;7.1
10.6;45.1;24.1;3.4;5.3;13.8;4.3;1.7;2.9;6.2;7.1
10.7;44.9;24.1;3.3;5.3;13.7;4.2;1.7;2.9;6.3;7.1
10.7;46.5;24;3.4;5.1;13.8;4.2;1.7;2.9;6.4;7.1
10.6;45.8;24.4;3.4;5.1;13.9;4.3;1.7;2.9;6.4;7.2
11.1;47.3;24.9;3.5;5.5;14.4;4.3;1.7;3;6.5;7.4
11.4;48.3;25.7;3.5;5.6;14.3;4.4;1.8;3.1;6.6;7.6
11.4;50.3;26.8;3.7;5.6;15;4.7;1.8;3.2;6.9;7.6
12;52.7;27.3;3.8;5.8;15.9;4.8;1.9;3.3;7.1;7.9
12.6;54.8;28.6;4;6.2;16.3;4.9;2;3.4;7.4;8.4
13;54.9;29.2;4.1;6.4;17.1;5.1;2.1;3.5;7.6;8.6
13.4;58.4;30.1;4.3;6.4;17.6;5.3;2.1;3.6;8;9.2
13.4;59.2;31.1;4.3;6.7;17.8;5.5;2.2;3.7;8.2;9
13.9;58.8;31.8;4.4;6.8;18;5.6;2.2;3.8;8.2;9.3
14.2;59.3;32.1;4.5;6.9;18.5;5.6;2.3;3.9;8.3;9.4
14.2;60.9;32.4;4.5;7;18.6;5.7;2.3;3.9;8.4;9.5
14.6;62;32.5;4.6;7;18.5;5.8;2.3;3.9;8.5;9.5
14.7;62.2;33.5;4.6;7.1;18.7;5.8;2.3;3.9;8.6;9.7
14.5;62.6;33.4;4.7;7.2;19.3;5.9;2.4;4;8.5;9.7
14.6;63;33.6;4.7;7.2;19.2;5.7;2.3;3.9;8.7;9.8
14.7;62.3;33.7;4.7;7.3;19;5.7;2.3;4;8.7;9.8
14.8;62.5;33.4;4.6;7.2;19.6;6;2.4;4;8.7;9.7
14.8;62.7;33.3;4.7;7.3;19.2;5.8;2.3;4;8.9;9.9
14.7;62.5;33.6;4.7;7.1;19.3;5.9;2.4;4;8.8;9.9
14.8;63.4;33.8;4.7;7.2;19.1;5.8;2.4;4;8.7;9.8
14.7;64.1;34;4.6;7.3;19.4;5.9;2.4;4.1;8.8;10
14.9;63.8;33.7;4.7;7.4;19.4;5.8;2.4;4.1;8.8;10
