2_C-10.61;3_C151.15;4_C-9.47;5_C201.84;6_C-6.27;9_C130.49;10_C228.66;11_C-138.89;12_C-27.88;13_C-13.33;14_C63.6
19.1;82;41.2;6.8;10.3;26.9;7.9;3.1;5.3;11.7;13.9
19.1;80.4;40.7;6.7;10.2;26.4;7.7;3;5.2;11.3;13.4
18.3;77.4;38.4;6.3;9.4;25.1;7.4;2.9;5.1;10.9;13
17.5;74.7;36.7;6.1;9.3;24.3;7;2.8;4.9;10.7;12.3
17.5;72.7;36.4;6.1;9;24;7;2.7;4.9;10.3;12.5
17.3;72.1;36.6;5.9;9;24.3;7;2.8;4.8;10.5;12.3
17;70.5;36.6;5.9;9.1;23.7;7.2;2.7;4.7;10.2;12.2
16.6;71.5;36.4;5.8;9.1;23.7;7;2.7;4.7;10.2;11.9
16.8;69.2;35.4;5.6;8.7;23.1;6.9;2.7;4.6;9.8;12
16.2;68.5;34.1;5.5;8.4;22.7;6.6;2.6;4.5;9.4;11.5
16.2;67.5;33.5;5.5;8.4;21.8;6.5;2.5;4.4;9.4;11.4
15.8;65.4;33.2;5.4;8.2;22;6.4;2.5;4.3;9.4;11.1
15.5;65.4;32.7;5.4;8.2;21.7;6.3;2.4;4.4;9.3;11
15.4;65.2;31.9;5.3;8.1;21.6;6.3;2.5;4.3;9.3;10.8
15;64.4;32.3;5.2;8;20.9;6.3;2.4;4.3;9.2;11
15.3;63.3;31.7;5.3;8.1;21.1;6.3;2.5;4.2;9.1;10.9
15.3;65.5;32.6;5.4;8.1;21.5;6.3;2.5;4.3;9.3;11
15.6;66.1;32.9;5.3;8.1;21.7;6.4;2.5;4.3;9.3;11.2
15.6;65;32.5;5.4;8.1;21.8;6.3;2.5;4.3;9.2;11.2
16.1;65.9;33.7;5.5;8.3;22.2;6.6;2.5;4.4;9.5;11.2
16;66.1;34.2;5.5;8.3;21.8;6.6;2.5;4.4;9.7;11.4
16;68.5;34.2;5.6;8.5;22.7;6.7;2.6;4.5;9.8;11.3
16.5;68;35.1;5.7;8.5;22.6;6.7;2.6;4.6;9.8;11.8
16.7;70.2;35.5;5.7;8.7;23.4;7;2.7;4.7;10;11.9
17;71.5;36;5.9;8.9;23.1;7;2.7;4.7;10.3;12.1
17.1;71.7;37.3;5.9;9.1;24.1;7.1;2.8;4.8;10.5;12.3
17.6;72.9;36.3;6.1;9.2;24.2;7.2;2.8;4.9;10.4;12.3
17.9;73.9;38.3;6.3;9.4;24.8;7.4;2.8;5;10.7;12.5
18;75.4;38.3;6.2;9.6;24.9;7.5;2.8;5;10.8;12.8
18.4;77.9;39.7;6.5;9.7;25.4;7.5;2.9;5.1;10.9;13.1
18.8;78.6;39.8;6.4;9.8;25.4;7.6;3;5.2;11.1;13.1
18.7;78.4;40;6.5;9.8;25.9;7.6;2.9;5.2;11.1;13.4
18.9;80;39.8;6.6;9.9;26.1;7.6;3;5.2;11.3;13.4
19;80.4;39.7;6.4;9.9;26.2;7.6;3;5.2;11.2;13.4
18.6;79.4;40.5;6.6;9.8;26.1;7.7;3;5.2;11.4;13.2
18.6;79.3;40.5;6.5;9.9;26.1;7.9;3;5.2;11.4;13.6
18.8;80;40.5;6.6;9.8;26.4;7.9;3;5.3;11.4;13.6
19.3;80.2;40.5;6.6;10.1;26.8;7.8;3;5.4;11.6;13.5
19.2;82.4;41.1;6.7;10.3;27;8;3.1;5.3;11.5;13.9
19.3;82.4;41.1;6.7;10.2;27.1;8;3.1;5.5;11.7;13.8
19.2;79;40;6.8;9.9;27;7.7;3;5.3;11.7;13.5
18.5;79;39.3;6.5;9.7;26.3;7.5;3;5.2;11.3;13.4
18.1;77.2;39.3;6.4;9.7;26;7.6;2.9;5.1;10.9;13.3
18.3;76.8;38.9;6.4;9.6;26.1;7.5;2.9;5.1;10.7;13
17.9;76.6;37.8;6.2;9.4;25.3;7.5;2.8;5.1;10.9;13
17.6;74.5;37.5;6.2;9.5;24.9;7.3;2.8;4.9;10.5;12.7
17.5;74.8;37.3;6.1;9.2;24.3;7.2;2.8;5;10.6;12.5
