1_G137.1;3_G36.31;6_G63.29;2_G-56.47;8_G40.43
88.1;47.4;96;0;0
82.7;46.4;96;0;0
74.8;45.6;96;0;0
68.7;45;96.1;0;0
67.7;44.7;96.1;0;0
65.4;45;96.1;0;0
62.3;45.8;96.2;0;0
59.1;47.3;96.2;0;0
52.8;49.1;96.2;0;0
45.9;51.1;96.2;0;0
41.3;52.8;96.3;0;0
37.2;54;96.3;0;0
34.6;54.3;96.3;0;0
34.4;53.5;96.4;0;0
35;52;96.4;0;0
37.1;50;96.4;0;0
41.1;47.8;96.5;0;0
44.3;45.7;96.5;0;0
47.4;44;96.5;0;0
51.4;42.7;96.5;0;0
54.3;41.8;96.6;0;0
56.8;41.1;96.6;0.1;0.1
59.6;40.5;96.6;0.4;0.6
61;40;96.7;1.3;1.6
61.2;39.4;96.7;2.8;3.4
60.7;38.6;96.7;5;6.1
59.4;38;96.7;7.6;9.2
57.9;37.4;96.8;10.3;12.5
56.4;37.1;96.8;12.9;15.6
53.7;37.2;96.8;15.2;18.4
50.3;37.8;96.9;17.1;20.8
47.1;38.9;96.9;18.5;22.6
43.6;40.4;96.9;19.5;24
40.5;42.1;97;20.1;24.9
38.7;43.8;97;20.4;25.4
38.5;45.2;97;20.4;25.7
39.4;46.1;97;20.1;25.6
41.5;46.3;97.1;19.5;25.2
45.7;46;97.1;18.7;24.5
48.4;45.5;97.1;17.6;23.4
46.9;44.8;97.2;16.2;21.9
46.9;44.2;97.2;14.5;19.8
49.3;43.9;97.2;12.5;17.3
53.1;43.9;97.2;10.2;14.3
55.1;44.2;97.3;7.8;11.1
56.7;44.7;97.3;5.5;7.9
59.7;45.2;97.3;3.4;4.9
61.4;45.5;97.4;1.7;2.4
61.9;45.7;97.4;0.6;0.8
61.9;45.6;97.4;0.1;0.1
61.5;45.3;97.5;0;0
62.1;45;97.5;0;0
64.2;44.7;97.5;0;0
67.4;44.5;97.5;0;0
70.7;44.5;97.6;0;0
73.4;44.8;97.6;0;0
76.7;45.3;97.6;0;0
79.3;45.9;97.7;0;0
79.7;46.4;97.7;0;0
78.7;46.7;97.7;0;0
76.6;46.7;97.7;0;0
73.7;46.3;97.8;0;0
71.8;45.7;97.8;0;0
70.7;44.7;97.8;0;0
70.1;43.6;97.9;0;0
69.6;42.3;97.9;0;0
70.4;41;97.9;0;0
73.9;39.7;98;0;0
83.2;38.4;98;0;0
90.8;37.4;98;0;0
89.9;36.6;98;0;0
89.1;36.1;98.1;0;0
87;36.1;98.1;0;0
81.2;36.5;98.1;0;0
72.6;37.3;98.2;0;0
65.4;38.4;98.2;0;0
62.9;39.7;98.2;0;0
59.5;41.2;98.2;0;0
55.5;42.7;98.3;0;0
52;44.3;98.3;0;0
46;45.8;98.3;0;0
39.6;47.2;98.4;0;0
35.3;48.5;98.4;0;0
31;49.6;98.4;0;0
27.4;50.6;98.5;0;0
25.3;51.2;98.5;0;0
23.6;51.7;98.5;0;0
22.8;52;98.5;0;0
23.5;52.1;98.6;0;0
23.7;52;98.6;0;0
24.3;51.7;98.6;0;0
25.9;51.3;98.7;0;0
26.8;50.9;98.7;0;0
27.7;50.6;98.7;0.1;0.1
28.7;50.3;98.7;0.4;0.6
28.5;50.1;98.8;1;1.7
27.3;50.2;98.8;2.2;3.7
25.5;50.6;98.8;3.8;6.4
23.2;51.1;98.9;5.7;9.6
20.9;51.8;98.9;7.8;12.9
19;52.5;98.9;9.9;16
16.8;53.1;98.9;11.9;18.7
14.9;53.7;98.9;13.8;21.1
13.6;54.1;99;15.3;22.9
12.3;54.4;99;16.6;24.3
11.5;54.7;99;17.7;25.2
11.6;55;99;18.4;25.7
12.2;55.4;99;18.8;25.9
13.4;56.1;99;19;25.8
15.2;56.9;99;18.9;25.3
18.1;57.9;99.1;18.4;24.5
18.7;58.9;99.1;17.6;23.3
14.7;59.7;99.1;16.5;21.8
12.3;60.3;99.1;15.1;19.9
12.8;60.6;99.1;13.2;17.5
16.1;60.5;99.1;11;14.7
18.5;60.1;99.1;8.6;11.6
21.1;59.7;99.2;6.2;8.4
25.3;59.5;99.2;3.8;5.4
27.8;59.5;99.2;1.9;2.7
28.5;60.1;99.2;0.6;0.9
27.9;61.2;99.2;0.1;0.1
26.1;62.7;99.2;0;0
24.9;64.5;99.2;0;0
25.4;66.3;99.3;0;0
27.2;67.9;99.3;0;0
30;69.2;99.3;0;0
33.6;70;99.3;0;0
38.5;70.3;99.3;0;0
43.2;70.3;99.3;0;0
46;69.9;99.4;0;0
47.7;69.2;99.4;0;0
48.2;68.4;99.4;0;0
47.4;67.4;99.4;0;0
47.1;66.4;99.4;0;0
46.8;65.6;99.4;0;0
45.6;65;99.4;0;0
