date;time
2018-Jan-02;00:00
2018-Jan-02;00:35
2018-Jan-02;01:10
2018-Jan-02;01:45
2018-Jan-02;02:20
2018-Jan-02;02:55
2018-Jan-02;03:30
2018-Jan-02;04:05
2018-Jan-02;04:40
2018-Jan-02;05:15
2018-Jan-02;05:50
2018-Jan-02;06:25
2018-Jan-02;07:00
2018-Jan-02;07:35
2018-Jan-02;08:10
2018-Jan-02;08:45
2018-Jan-02;09:20
2018-Jan-02;09:55
2018-Jan-02;10:30
2018-Jan-02;11:05
2018-Jan-02;11:40
2018-Jan-02;12:15
2018-Jan-02;12:50
2018-Jan-02;13:25
2018-Jan-02;14:00
2018-Jan-02;14:35
2018-Jan-02;15:10
2018-Jan-02;15:45
2018-Jan-02;16:20
2018-Jan-02;16:55
2018-Jan-02;17:30
2018-Jan-02;18:05
2018-Jan-02;18:40
2018-Jan-02;19:15
2018-Jan-02;19:50
2018-Jan-02;20:25
2018-Jan-02;21:00
2018-Jan-02;21:35
2018-Jan-02;22:10
2018-Jan-02;22:45
2018-Jan-02;23:20
2018-Jan-02;23:55
2018-Jan-03;00:30
2018-Jan-03;01:05
2018-Jan-03;01:40
2018-Jan-03;02:15
2018-Jan-03;02:50
2018-Jan-03;03:25
2018-Jan-03;04:00
2018-Jan-03;04:35
2018-Jan-03;05:10
2018-Jan-03;05:45
2018-Jan-03;06:20
2018-Jan-03;06:55
2018-Jan-03;07:30
2018-Jan-03;08:05
2018-Jan-03;08:40
2018-Jan-03;09:15
2018-Jan-03;09:50
2018-Jan-03;10:25
2018-Jan-03;11:00
2018-Jan-03;11:35
2018-Jan-03;12:10
2018-Jan-03;12:45
2018-Jan-03;13:20
2018-Jan-03;13:55
2018-Jan-03;14:30
2018-Jan-03;15:05
2018-Jan-03;15:40
2018-Jan-03;16:15
2018-Jan-03;16:50
2018-Jan-03;17:25
2018-Jan-03;18:00
2018-Jan-03;18:35
2018-Jan-03;19:10
2018-Jan-03;19:45
2018-Jan-03;20:20
2018-Jan-03;20:55
2018-Jan-03;21:30
2018-Jan-03;22:05
2018-Jan-03;22:40
2018-Jan-03;23:15
2018-Jan-03;23:50
2018-Jan-04;00:25
2018-Jan-04;01:00
2018-Jan-04;01:35
2018-Jan-04;02:10
2018-Jan-04;02:45
2018-Jan-04;03:20
2018-Jan-04;03:55
2018-Jan-04;04:30
2018-Jan-04;05:05
