1_G137.1;3_G36.31;6_G63.29;2_G-56.47;8_G40.43
125.6;34;70.7;0;0
122.5;34.6;69.7;0;0
113.3;34.5;70.4;0;0
101.1;35.6;70.1;0;0
99.2;36.5;70.3;0;0
97.9;38;69.3;0;0
97.3;38.3;70.2;0;0
96.4;38.2;70.5;0;0
93.7;38.2;71.7;0;0
86.5;38.1;71.9;0;0
85.8;38;70.4;0;0
83.8;37.3;72.6;0;0
81.2;36.5;72.4;0;0
82;36.5;71.1;0;0
82.5;37.5;71.4;0;0
81.3;38.1;70.6;0;0
85.9;38.4;70.7;0;0
87.4;38.2;70.8;0;0
93.4;40.2;71.4;0;0
99.3;40.4;71.6;0;0
105.5;41.7;72.4;0;0
113;42.1;72.7;0;0
119.2;43.2;72.3;0.5;0.4
123.2;43.6;71.5;1.3;1.1
124.2;43.4;71.7;2.6;2.3
120.7;44.1;72.7;4.4;4.1
119.7;44.2;70.3;6.5;6.3
115.9;43.8;73.4;8.7;8.7
112.1;45.1;72.9;10.9;11.5
111.4;46;71.8;12.8;14.1
104.5;45.7;72.2;14.6;16.3
101.1;46.1;73.6;15.9;18.8
95.4;47.3;73.3;17;21.9
90.3;48.3;72.3;18.6;23.8
85.7;50.4;73.1;19.1;25.6
83.3;51.4;73.2;19.3;27.2
81.7;51.3;72.6;19.9;28.6
78.4;54.2;73.3;19.6;28.5
79.4;54.8;72.9;18.8;27.4
79.2;55.6;74;17.7;26.7
78.9;55.9;73;16.6;24.8
82.2;57.1;74;14.9;22.8
83.4;57;74.9;13.5;19.9
88.8;57.9;73.7;11.1;16.4
92.4;57.5;73.5;8.7;13.1
92.9;58.2;73.3;6.1;9.4
98.6;58.4;73.4;3.8;6
99.8;58.5;73.3;1.9;3
101;59.6;75.8;0.6;1
103.5;59.1;75.7;0.1;0.1
100.8;60.3;74.5;0;0
99.8;59.6;74.2;0;0
99.4;60.6;74.1;0;0.1
101.9;60.3;73.2;0;0
102.1;62.6;74.5;0;0
104.3;64.2;73.8;0;0
105;65.6;75;0;0
107.4;66.3;73.8;0;0
109.7;68.5;74.4;0;0
104;69.6;74.3;0;0
102.4;70;74.1;0;0
96.4;71;76.2;0;0
91.3;71.5;75.5;0;0
85.3;71.4;75.7;0;0
83.9;72.6;76.3;0;0
79.6;71.7;76.6;0;0
77.1;72.5;75.3;0;0
78.3;71.7;75.7;0;0
82.3;72.8;74.4;0;0
88.8;71.9;75.4;0;0
86.5;72.8;76.1;0;0
85.3;73.1;75.9;0;0
80.9;71.7;75.7;0;0
78.4;72.2;75.9;0;0
72.3;72.6;74.8;0;0
62.6;70.4;75.9;0;0
61.8;71;78.2;0;0
60.9;71.5;77.8;0;0
57.7;72.8;75.3;0;0
57.7;72.9;76.4;0;0
53.5;73.8;77;0;0
46.9;74.3;77.2;0;0
43;75.3;76.1;0;0
40.2;76;76.9;0;0
36.6;78;76.6;0;0
34.4;79.2;75.7;0;0
32.6;81.8;77.7;0;0
33;83.7;75.9;0;0
35.5;84.4;76.8;0;0
39.2;85.3;77.6;0;0
44.7;84.3;76.5;0;0
52.8;82.6;78.6;0;0
64.3;80.4;77.5;0;0
73.8;77.6;78.5;0;0
82.3;75.4;79;0.4;0.6
89.7;71.2;77.6;1.1;1.6
90.3;68.6;76.5;2.3;3.3
91.7;69.9;76.7;4.1;5.7
87.7;67.5;78.4;6.3;8.3
84.8;70.7;76.7;8.8;11
79.7;71;77.8;11;13.6
76.3;72.4;79.1;13.2;15.7
72.8;72.9;79.4;14.4;17.4
68.7;72.7;79.5;15.8;19.1
68.3;72.9;79.4;16.5;19.8
67.4;73;79.2;17.5;20.3
67.7;72.8;79.3;18;21
67.6;69.8;80.5;17.9;21
69.4;69.1;79.6;17.7;21.4
69;68.1;80;18;21.2
70.6;65.7;79.3;17.4;21.2
72.2;65.6;80.6;17;21.5
72.4;64.4;81.6;16;20.3
72.4;64.7;81.8;14.7;19.6
76.1;65.6;80.3;13.2;17.8
79.1;64.2;81.3;11.4;15.5
79;67.1;80.4;9.2;12.8
80.3;67.3;79.7;6.5;10
84.2;67.3;80.7;4.4;6.5
86.3;68.3;81.1;2.3;3.5
89.1;67.9;80.9;0.8;1.3
89;67.7;81.6;0.1;0.2
90.2;65.4;81.9;0;0
91.5;64.3;80.5;0;0
94;61.2;79.7;0;0.1
97;59.6;81.5;0;0
100.2;59.7;82.1;0;0
103.5;58.9;82.8;0;0
106.3;59.3;82.9;0;0
113.2;59.3;82.7;0;0
111.6;59.3;82.4;0;0
110.5;60.9;82.5;0;0
107;60.8;81.8;0;0
103.1;59.9;82.2;0;0
97.6;59.5;82.4;0;0
96.8;57;81.7;0;0
93.5;56.4;83.8;0;0
92.8;55.5;82.7;0;0
90.3;56.3;84.3;0;0
91.8;55.5;84.3;0;0
93.2;55;81.5;0;0
101.9;55.7;84.9;0;0
99.3;55.9;82.9;0;0
96.7;56.8;84.4;0;0
95;56.4;83.8;0;0
89;57.3;83.1;0;0
79.5;58.5;85.3;0;0
71.6;57;84;0;0
70.6;59.1;85.2;0;0
69.7;58.4;82.6;0;0
66.9;58.6;85.3;0;0
66.7;58.7;83.5;0;0
62.6;58.4;83.4;0;0
57.6;59.2;84.6;0;0
55.4;58;83.6;0;0
53.6;57.8;84.9;0;0
50.6;58.6;84.7;0;0
50.2;58.1;84.2;0;0
49.6;59.8;85;0;0
49.1;60.3;84.5;0;0
52.5;61.5;85.8;0;0
55.8;60.8;84.4;0;0
59.7;60.1;87.3;0;0
69.6;59.5;86;0;0
78.9;58;86;0;0
86.6;57.8;85.5;0;0
95.8;53.9;86.9;0.4;0.5
102;53.4;87;1.1;1.5
102.2;53.3;86.6;2.4;3.3
98.6;52;87.4;4.3;5.8
93;54.3;86.6;6.7;8.9
88.3;54.4;85.9;9.4;12.4
81.8;56;86.2;12.1;15.3
79.1;56.3;88;14.5;18.1
72.6;57.5;87;17;19.7
69.3;58.5;86.6;19.2;22
