2_C-10.61;3_C151.15;4_C-9.47;5_C201.84;6_C-6.27;9_C130.49;10_C228.66;11_C-138.89;12_C-27.88;13_C-13.33;14_C63.6
19.9;83.1;43.9;6.6;9.8;25.6;8.5;3.1;5.5;12;13.2
19.2;80.4;42.1;6.6;9.6;24.7;8.4;3.1;5.3;11.7;12.7
18.3;77.5;41.4;6.4;9.3;24.7;8.1;3;5.2;11.3;12.3
17.7;75.7;39.5;6.2;8.9;22.9;7.8;2.8;5;11;11.8
17.1;74.7;39.6;6;9;23.1;7.8;2.8;4.9;11;11.8
17.4;75.5;39.3;6;8.9;23.5;7.8;2.8;4.9;10.8;11.7
16.9;75.3;39.4;6;8.7;23.1;7.7;2.7;4.9;10.8;11.4
17.3;72.5;38.3;5.9;8.8;22.4;7.6;2.8;4.9;10.6;11.4
16.9;71.8;38.3;5.9;8.6;22.6;7.5;2.8;4.8;10.4;11.5
16.8;70.3;37.2;5.8;8.5;22.1;7.2;2.7;4.7;10.3;11
16;70.3;36.3;5.7;8.3;21.4;7.3;2.6;4.6;10.2;10.8
16.2;68.8;36.3;5.6;8.1;20.9;7.1;2.6;4.6;10;10.8
16.1;67.9;36.1;5.6;8;20.7;7;2.6;4.5;10;10.7
15.9;68.6;35.1;5.5;8;21;7;2.5;4.5;9.8;10.8
15.8;67.8;36.6;5.5;8;20.8;7;2.6;4.5;9.9;10.9
16.1;69.4;36.7;5.6;8;21.1;6.9;2.6;4.6;10;10.7
16.2;70.2;36.9;5.6;8.2;21.5;7.2;2.6;4.6;10.1;11
17;70.5;37.3;5.8;8.5;22.1;7.3;2.7;4.8;10.2;11.2
16.7;74.1;37.3;6;8.6;22.5;7.5;2.7;4.8;10.4;11.5
17.4;75.5;39.5;6.1;8.9;23.5;7.7;2.8;5;11;12.2
18.4;78.9;41.5;6.4;9.2;23.7;8.1;3;5.1;11.4;12.3
18.8;80.9;42.3;6.4;9.6;24.7;8.2;3;5.3;11.7;13
19.4;83.2;44.5;6.8;9.8;25.5;8.5;3.1;5.5;11.9;13.1
