date;time
2018-Jan-05;00:00
2018-Jan-05;00:35
2018-Jan-05;01:10
2018-Jan-05;01:45
2018-Jan-05;02:20
2018-Jan-05;02:55
2018-Jan-05;03:30
2018-Jan-05;04:05
2018-Jan-05;04:40
2018-Jan-05;05:15
2018-Jan-05;05:50
2018-Jan-05;06:25
2018-Jan-05;07:00
2018-Jan-05;07:35
2018-Jan-05;08:10
2018-Jan-05;08:45
2018-Jan-05;09:20
2018-Jan-05;09:55
2018-Jan-05;10:30
2018-Jan-05;11:05
2018-Jan-05;11:40
2018-Jan-05;12:15
2018-Jan-05;12:50
2018-Jan-05;13:25
2018-Jan-05;14:00
2018-Jan-05;14:35
2018-Jan-05;15:10
2018-Jan-05;15:45
2018-Jan-05;16:20
2018-Jan-05;16:55
2018-Jan-05;17:30
2018-Jan-05;18:05
2018-Jan-05;18:40
2018-Jan-05;19:15
2018-Jan-05;19:50
2018-Jan-05;20:25
2018-Jan-05;21:00
2018-Jan-05;21:35
2018-Jan-05;22:10
2018-Jan-05;22:45
2018-Jan-05;23:20
2018-Jan-05;23:55
2018-Jan-06;00:30
2018-Jan-06;01:05
2018-Jan-06;01:40
2018-Jan-06;02:15
2018-Jan-06;02:50
2018-Jan-06;03:25
2018-Jan-06;04:00
2018-Jan-06;04:35
2018-Jan-06;05:10
2018-Jan-06;05:45
2018-Jan-06;06:20
2018-Jan-06;06:55
2018-Jan-06;07:30
2018-Jan-06;08:05
2018-Jan-06;08:40
2018-Jan-06;09:15
2018-Jan-06;09:50
2018-Jan-06;10:25
2018-Jan-06;11:00
2018-Jan-06;11:35
2018-Jan-06;12:10
2018-Jan-06;12:45
2018-Jan-06;13:20
2018-Jan-06;13:55
2018-Jan-06;14:30
2018-Jan-06;15:05
2018-Jan-06;15:40
2018-Jan-06;16:15
2018-Jan-06;16:50
2018-Jan-06;17:25
2018-Jan-06;18:00
2018-Jan-06;18:35
2018-Jan-06;19:10
2018-Jan-06;19:45
2018-Jan-06;20:20
2018-Jan-06;20:55
2018-Jan-06;21:30
2018-Jan-06;22:05
2018-Jan-06;22:40
2018-Jan-06;23:15
2018-Jan-06;23:50
2018-Jan-07;00:25
2018-Jan-07;01:00
2018-Jan-07;01:35
2018-Jan-07;02:10
2018-Jan-07;02:45
2018-Jan-07;03:20
2018-Jan-07;03:55
2018-Jan-07;04:30
2018-Jan-07;05:05
2018-Jan-07;05:40
2018-Jan-07;06:15
2018-Jan-07;06:50
2018-Jan-07;07:25
2018-Jan-07;08:00
2018-Jan-07;08:35
2018-Jan-07;09:10
2018-Jan-07;09:45
2018-Jan-07;10:20
2018-Jan-07;10:55
2018-Jan-07;11:30
2018-Jan-07;12:05
2018-Jan-07;12:40
2018-Jan-07;13:15
2018-Jan-07;13:50
2018-Jan-07;14:25
2018-Jan-07;15:00
2018-Jan-07;15:35
2018-Jan-07;16:10
2018-Jan-07;16:45
2018-Jan-07;17:20
2018-Jan-07;17:55
2018-Jan-07;18:30
2018-Jan-07;19:05
2018-Jan-07;19:40
2018-Jan-07;20:15
2018-Jan-07;20:50
2018-Jan-07;21:25
