2_C-10.61;3_C151.15;4_C-9.47;5_C201.84;6_C-6.27;9_C130.49;10_C228.66;11_C-138.89;12_C-27.88;13_C-13.33;14_C63.6
18.6;76.2;38.1;6;9.2;23.3;7.6;2.8;5.1;10.9;11.9
17.7;72.6;36.3;5.7;8.8;22.2;7.2;2.7;4.8;10.4;11.3
16.9;69.6;34.8;5.5;8.4;21.3;6.9;2.6;4.6;10;10.8
16.8;68.9;34.4;5.5;8.3;21.1;6.9;2.6;4.6;9.9;10.7
16.6;68.2;34.1;5.4;8.2;20.8;6.8;2.5;4.5;9.8;10.6
15.9;65.6;32.8;5.2;7.9;20.1;6.5;2.4;4.3;9.4;10.2
15.6;64.1;32;5.1;7.7;19.6;6.4;2.4;4.2;9.2;10
15.3;63.2;31.5;5;7.6;19.3;6.3;2.3;4.2;9;9.8
15.4;63.6;31.7;5;7.7;19.4;6.3;2.4;4.2;9.1;9.9
16;65.9;32.9;5.2;7.9;20.1;6.6;2.4;4.4;9.4;10.2
16.6;68.7;34.2;5.4;8.3;21;6.8;2.5;4.5;9.8;10.7
17.8;73.6;36.7;5.8;8.9;22.5;7.3;2.7;4.9;10.5;11.4
18.9;78.1;38.9;6.2;9.4;23.8;7.8;2.9;5.2;11.1;12.1
19.9;82;40.9;6.5;9.9;25;8.1;3;5.4;11.7;12.7
20.3;84.1;41.9;6.6;10.1;25.7;8.4;3.1;5.5;12;13
20.7;85.6;42.6;6.8;10.3;26.1;8.5;3.2;5.6;12.2;13.3
21;87;43.3;6.9;10.5;26.5;8.6;3.2;5.7;12.4;13.5
21.2;87.6;43.6;6.9;10.5;26.7;8.7;3.2;5.8;12.5;13.6
21.2;87.9;43.7;6.9;10.6;26.8;8.7;3.2;5.8;12.5;13.6
21.3;88.2;43.9;7;10.6;26.9;8.7;3.3;5.8;12.6;13.6
21.5;88.9;44.2;7;10.7;27.1;8.8;3.3;5.9;12.7;13.8
21.4;88.8;44.1;7;10.7;27.1;8.8;3.3;5.8;12.6;13.7
21.5;89.2;44.3;7;10.7;27.2;8.8;3.3;5.9;12.7;13.8
21.1;87.8;43.6;6.9;10.6;26.7;8.7;3.2;5.8;12.5;13.6
21;87;43.2;6.9;10.5;26.5;8.6;3.2;5.7;12.4;13.4
