1_G137.1;3_G36.31;6_G63.29;2_G-56.47;8_G40.43
83.8;27.6;119.3;0;0
77.2;27.8;120.8;0;0
70.3;28.3;120.7;0;0
61.4;29.1;119.2;0;0
58.2;29.7;119.8;0;0
57.3;30.2;119.9;0;0
55.4;31;120;0;0
53.1;31;119.7;0;0
51.1;31.1;119.9;0;0
46.6;31.2;117.9;0;0
43.8;30.4;120.3;0;0
41.9;29.9;118.1;0;0
40.8;29;119.4;0;0
41.9;28.5;121.1;0;0
43.8;26.7;124;0;0
44.9;26;120.4;0;0
50.5;24.8;120.7;0;0
55.3;24.3;121;0;0
58.9;24.5;120.2;0;0
65.2;25.5;120.5;0;0
72;27.4;120.3;0;0
79.3;28.4;120.6;0;0
83.1;28.6;119.9;0.3;0.6
87.4;30.9;118.9;0.9;1.8
86.2;31.6;120.9;1.8;3.8
84.3;31;119.8;3.3;6.7
80.6;29.9;120.1;5.1;10.1
79.5;29;120.6;7;13.9
77.8;28.4;120.3;9.1;17
75;27.3;122.4;10.9;20.3
71.1;26;120.4;12.5;22.6
69.1;25.8;121.1;14.1;25
66.2;26.1;120.8;15;26.7
64;26.9;121.3;15.8;27.4
63.7;27;120.2;16;28.3
62;27.5;121.4;16.7;28.5
62.7;28.3;121.4;16.6;28.1
62;27.9;120.9;16.8;28
62.4;27.7;122.6;16.6;26.7
65.5;28;121;16;25.6
65.9;27.8;123.5;15;24
65.3;28.1;122.3;13.7;21.7
68.6;28.1;121.2;12.2;19.1
73.1;27.8;122.3;10.4;15.6
74.3;28.2;121.3;8.2;12.6
78.2;28;119.7;6.2;9.1
80.3;28.3;121.7;4;6.1
84.1;28.2;122.5;2.1;3.2
87;27.8;121.7;0.7;1.2
85.2;26.8;121.2;0.1;0.2
87.4;26.9;121.3;0;0
88.8;25.6;121.4;0;0
89.3;24.3;122;0;0.1
92.4;23.8;122.4;0;0
94.9;22.9;122.9;0;0
100.2;22.7;120.8;0;0
102.2;23.5;120.2;0;0
108.2;23.4;121.9;0;0
107.1;23.7;122.4;0;0
103.6;24;119.6;0;0
101.8;24.5;123;0;0
95;24.2;122.3;0;0
91.3;24.7;122.2;0;0
88.1;24.2;121.4;0;0
86;23.9;123.7;0;0
81.7;23.8;120.9;0;0
80;23.5;121.8;0;0
82;23;122.6;0;0
84.7;23;121.6;0;0
94.1;22.5;122.6;0;0
92.6;22;123;0;0
88.9;21.4;123.1;0;0
87.8;21.6;122.6;0;0
83.6;22.1;123.4;0;0
