2_C-10.61;3_C151.15;4_C-9.47;5_C201.84;6_C-6.27;9_C130.49;10_C228.66;11_C-138.89;12_C-27.88;13_C-13.33;14_C63.6
13.4;58.9;29.5;4.7;7.1;19;5.5;2.1;3.6;8.4;9.5
13.1;57.4;28.8;4.6;6.9;18.5;5.4;2.1;3.5;8.2;9.2
12.6;55.3;27.7;4.4;6.6;17.8;5.2;2;3.4;7.9;8.9
12.3;53.7;26.9;4.3;6.5;17.3;5;1.9;3.3;7.7;8.7
12.2;53.5;26.8;4.3;6.4;17.3;5;1.9;3.3;7.7;8.6
12.1;53.1;26.6;4.3;6.4;17.1;5;1.9;3.2;7.6;8.6
12;52.7;26.4;4.2;6.3;17;5;1.9;3.2;7.5;8.5
12;52.4;26.3;4.2;6.3;16.9;4.9;1.9;3.2;7.5;8.4
11.7;51.4;25.8;4.1;6.2;16.6;4.8;1.8;3.1;7.4;8.3
11.5;50.3;25.2;4;6;16.2;4.7;1.8;3.1;7.2;8.1
11.3;49.7;24.9;4;6;16;4.7;1.8;3;7.1;8
11.2;49.1;24.6;3.9;5.9;15.8;4.6;1.8;3;7;7.9
11.1;48.6;24.4;3.9;5.9;15.7;4.6;1.7;3;7;7.8
11.1;48.6;24.4;3.9;5.8;15.7;4.6;1.7;3;7;7.8
11.1;48.7;24.4;3.9;5.9;15.7;4.6;1.7;3;7;7.8
11.2;49.1;24.6;3.9;5.9;15.8;4.6;1.8;3;7;7.9
11.5;50.2;25.2;4;6;16.2;4.7;1.8;3.1;7.2;8.1
11.7;51.1;25.7;4.1;6.2;16.5;4.8;1.8;3.1;7.3;8.2
11.9;52.4;26.3;4.2;6.3;16.9;4.9;1.9;3.2;7.5;8.4
12.4;54.4;27.3;4.4;6.5;17.6;5.1;1.9;3.3;7.8;8.8
12.8;56.2;28.2;4.5;6.8;18.1;5.3;2;3.4;8;9.1
13.2;57.9;29.1;4.6;7;18.7;5.5;2.1;3.5;8.3;9.3
13.6;59.7;30;4.8;7.2;19.3;5.6;2.1;3.6;8.5;9.6
13.9;60.9;30.6;4.9;7.3;19.7;5.7;2.2;3.7;8.7;9.8
14.1;61.7;30.9;4.9;7.4;19.9;5.8;2.2;3.8;8.8;9.9
14.2;62.2;31.2;5;7.5;20.1;5.9;2.2;3.8;8.9;10
14.3;62.7;31.5;5;7.5;20.2;5.9;2.2;3.8;9;10.1
