2_C-10.61;3_C151.15;4_C-9.47;5_C201.84;6_C-6.27;9_C130.49;10_C228.66;11_C-138.89;12_C-27.88;13_C-13.33;14_C63.6
12.9;60;30.3;4.5;7;18.8;5.7;2.1;3.7;8.2;8.8
12.2;56.8;28.7;4.3;6.6;17.8;5.4;2;3.5;7.8;8.3
11.7;54.5;27.5;4.1;6.4;17;5.1;1.9;3.4;7.5;8
11.6;53.9;27.3;4.1;6.3;16.9;5.1;1.9;3.3;7.4;7.9
11.5;53.4;27;4;6.2;16.7;5;1.9;3.3;7.3;7.8
11;51.4;26;3.9;6;16.1;4.9;1.8;3.2;7;7.5
10.8;50.3;25.4;3.8;5.9;15.7;4.7;1.8;3.1;6.9;7.4
10.6;49.6;25;3.7;5.8;15.5;4.7;1.7;3.1;6.8;7.3
10.7;49.7;25.1;3.7;5.8;15.5;4.7;1.7;3.1;6.8;7.3
11;51.1;25.8;3.8;6;16;4.8;1.8;3.1;7;7.5
11.4;53;26.7;4;6.2;16.5;5;1.9;3.3;7.3;7.7
12.1;56.4;28.5;4.2;6.6;17.6;5.3;2;3.5;7.7;8.3
12.8;59.7;30.1;4.5;7;18.6;5.6;2.1;3.7;8.2;8.7
13.5;62.7;31.6;4.7;7.3;19.6;5.9;2.2;3.9;8.6;9.2
13.8;64.2;32.4;4.8;7.5;20;6.1;2.3;3.9;8.8;9.4
14;65.2;32.9;4.9;7.6;20.3;6.2;2.3;4;8.9;9.5
14.2;66;33.3;5;7.7;20.6;6.2;2.3;4.1;9;9.7
14.3;66.3;33.4;5;7.8;20.7;6.3;2.3;4.1;9.1;9.7
14.3;66.4;33.5;5;7.8;20.7;6.3;2.3;4.1;9.1;9.7
14.3;66.4;33.5;5;7.8;20.7;6.3;2.3;4.1;9.1;9.7
14.4;66.9;33.7;5;7.8;20.8;6.3;2.3;4.1;9.2;9.8
14.3;66.7;33.6;5;7.8;20.8;6.3;2.3;4.1;9.1;9.7
14.3;66.6;33.6;5;7.8;20.7;6.3;2.3;4.1;9.1;9.7
14.1;65.5;33;4.9;7.7;20.4;6.2;2.3;4;9;9.6
14;65;32.7;4.9;7.6;20.2;6.1;2.3;4;8.9;9.5
13.8;64.3;32.4;4.8;7.5;20;6.1;2.3;4;8.8;9.4
13.5;63;31.7;4.7;7.4;19.6;6;2.2;3.9;8.6;9.2
13.4;62.2;31.3;4.7;7.3;19.3;5.9;2.2;3.8;8.5;9.1
13.2;61.6;31;4.6;7.2;19.1;5.8;2.2;3.8;8.4;9
13.2;61.2;30.8;4.6;7.2;19;5.8;2.2;3.8;8.4;8.9
13.3;61.7;31.1;4.6;7.2;19.2;5.8;2.2;3.8;8.5;9
13.6;63.1;31.7;4.7;7.4;19.6;6;2.2;3.9;8.6;9.2
14;64.9;32.7;4.9;7.6;20.2;6.1;2.3;4;8.9;9.5
14.2;65.9;33.1;5;7.7;20.4;6.2;2.3;4;9;9.6
13.9;64.8;32.6;4.9;7.6;20.1;6.1;2.3;4;8.9;9.5
13.5;62.8;31.6;4.7;7.3;19.5;5.9;2.2;3.9;8.6;9.2
13.1;61;30.7;4.6;7.1;18.9;5.8;2.1;3.7;8.4;8.9
12.9;59.7;30;4.5;7;18.5;5.7;2.1;3.7;8.2;8.7
12.7;58.9;29.6;4.4;6.9;18.3;5.6;2.1;3.6;8.1;8.6
13.2;61.4;30.9;4.6;7.2;19.1;5.8;2.2;3.8;8.4;9
13.2;61.4;30.9;4.6;7.2;19;5.8;2.2;3.8;8.4;9
13.1;60.9;30.6;4.6;7.1;18.9;5.8;2.1;3.7;8.3;8.9
12.5;58.1;29.2;4.4;6.8;18;5.5;2;3.6;8;8.5
11.9;55.2;27.8;4.2;6.5;17.1;5.2;1.9;3.4;7.6;8.1
11.8;54.8;27.5;4.1;6.4;17;5.2;1.9;3.4;7.5;8
11.7;54.2;27.2;4.1;6.3;16.8;5.1;1.9;3.3;7.4;7.9
11.3;52.4;26.3;3.9;6.1;16.2;5;1.8;3.2;7.2;7.6
11;51.1;25.7;3.8;6;15.8;4.8;1.8;3.1;7;7.5
10.8;50.2;25.2;3.8;5.9;15.5;4.8;1.8;3.1;6.9;7.3
10.8;50.1;25.2;3.8;5.9;15.5;4.8;1.8;3.1;6.9;7.3
11;51.2;25.7;3.9;6;15.8;4.9;1.8;3.1;7;7.5
11.4;53;26.6;4;6.2;16.4;5;1.9;3.3;7.3;7.7
12.1;56.3;28.2;4.2;6.6;17.4;5.3;2;3.5;7.7;8.2
12.8;59.6;29.9;4.5;7;18.4;5.7;2.1;3.7;8.2;8.7
13.5;62.7;31.4;4.7;7.3;19.4;5.9;2.2;3.8;8.6;9.1
13.8;64.1;32.2;4.8;7.5;19.8;6.1;2.3;3.9;8.8;9.3
14;65;32.6;4.9;7.6;20.1;6.2;2.3;4;8.9;9.5
14.2;65.8;33;5;7.7;20.3;6.2;2.3;4;9;9.6
14.3;66.1;33.2;5;7.7;20.4;6.3;2.3;4.1;9.1;9.6
14.3;66.2;33.2;5;7.7;20.4;6.3;2.3;4.1;9.1;9.6
14.3;66.2;33.2;5;7.7;20.4;6.3;2.3;4.1;9.1;9.7
14.4;66.6;33.4;5;7.8;20.5;6.3;2.3;4.1;9.1;9.7
14.3;66.4;33.3;5;7.8;20.5;6.3;2.3;4.1;9.1;9.7
14.3;66.4;33.2;5;7.8;20.5;6.3;2.3;4.1;9.1;9.7
14.1;65.4;32.7;4.9;7.6;20.2;6.2;2.3;4;9;9.5
13.9;64.6;32.4;4.9;7.6;19.9;6.1;2.3;4;8.9;9.4
13.8;64.2;32.1;4.8;7.5;19.8;6.1;2.3;3.9;8.8;9.3
13.5;62.7;31.4;4.7;7.3;19.3;6;2.2;3.8;8.6;9.1
