2_C-10.61;3_C151.15;4_C-9.47;5_C201.84;6_C-6.27;9_C130.49;10_C228.66;11_C-138.89;12_C-27.88;13_C-13.33;14_C63.6
19.3;82.5;39.9;6.5;9.6;24.1;7.6;3;5.2;11.8;13
18.3;78.2;37.8;6.1;9.1;22.8;7.2;2.9;5;11.2;12.3
17.5;74.9;36.2;5.9;8.8;21.9;6.9;2.8;4.8;10.7;11.8
17.4;74.2;35.9;5.8;8.7;21.7;6.9;2.7;4.7;10.6;11.7
17.2;73.4;35.5;5.8;8.6;21.4;6.8;2.7;4.7;10.5;11.5
16.6;70.7;34.2;5.5;8.3;20.7;6.5;2.6;4.5;10.1;11.1
16.2;69.2;33.5;5.4;8.1;20.2;6.4;2.6;4.4;9.9;10.9
16;68.1;33;5.3;8;19.9;6.3;2.5;4.3;9.8;10.7
16;68.3;33.1;5.4;8;20;6.3;2.5;4.3;9.8;10.7
16.4;70.2;34;5.5;8.2;20.5;6.5;2.6;4.5;10.1;11
17;72.7;35.2;5.7;8.5;21.3;6.7;2.7;4.6;10.4;11.4
18.2;77.5;37.6;6.1;9.1;22.7;7.2;2.9;4.9;11.1;12.2
19.2;81.9;39.7;6.4;9.6;24;7.6;3;5.2;11.7;12.9
20.1;86;41.7;6.8;10.1;25.2;8;3.2;5.5;12.3;13.5
20.6;88.1;42.7;6.9;10.3;25.8;8.2;3.3;5.6;12.6;13.9
21;89.5;43.4;7;10.5;26.2;8.3;3.3;5.7;12.8;14.1
21.2;90.6;43.9;7.1;10.6;26.5;8.4;3.3;5.8;13;14.3
21.3;90.9;44.1;7.1;10.7;26.6;8.4;3.4;5.8;13.1;14.3
21.3;91;44.2;7.2;10.7;26.7;8.4;3.4;5.8;13.1;14.3
21.3;91.1;44.2;7.2;10.7;26.7;8.5;3.4;5.8;13.1;14.3
21.5;91.6;44.5;7.2;10.7;26.9;8.5;3.4;5.8;13.2;14.4
21.4;91.3;44.4;7.2;10.7;26.8;8.5;3.4;5.8;13.1;14.4
21.4;91.3;44.3;7.2;10.7;26.8;8.5;3.4;5.8;13.1;14.4
21;89.7;43.6;7.1;10.5;26.3;8.3;3.3;5.7;12.9;14.1
20.8;88.9;43.2;7;10.4;26.1;8.3;3.3;5.7;12.8;14
20.6;88;42.8;6.9;10.3;25.9;8.2;3.3;5.6;12.7;13.9
20.2;86.2;41.9;6.8;10.1;25.3;8;3.2;5.5;12.4;13.6
19.9;85.1;41.4;6.7;10;25;7.9;3.2;5.4;12.3;13.4
19.7;84.2;41;6.6;9.9;24.7;7.8;3.1;5.4;12.1;13.3
19.6;83.7;40.7;6.6;9.8;24.6;7.8;3.1;5.3;12.1;13.2
19.8;84.4;41.1;6.7;9.9;24.8;7.9;3.1;5.4;12.2;13.3
20.2;86.2;42;6.8;10.1;25.4;8;3.2;5.5;12.4;13.6
20.8;88.7;43.2;7;10.4;26.1;8.3;3.3;5.7;12.8;14
21.1;90;43.8;7.1;10.6;26.5;8.4;3.3;5.7;13;14.2
20.7;88.5;43.1;7;10.4;26.1;8.3;3.3;5.6;12.8;13.9
20.1;85.7;41.8;6.8;10.1;25.2;8;3.2;5.5;12.4;13.5
19.5;83.3;40.6;6.6;9.8;24.5;7.8;3.1;5.3;12;13.1
19.1;81.5;39.7;6.4;9.6;24;7.6;3;5.2;11.8;12.8
18.8;80.4;39.2;6.3;9.4;23.7;7.5;3;5.1;11.6;12.7
19.7;83.8;40.9;6.6;9.9;24.7;7.8;3.1;5.4;12.1;13.2
19.6;83.8;40.9;6.6;9.8;24.7;7.8;3.1;5.3;12.1;13.2
19.5;83;40.5;6.6;9.8;24.5;7.8;3.1;5.3;12;13.1
18.6;79.3;38.7;6.3;9.3;23.4;7.4;2.9;5.1;11.5;12.5
17.7;75.3;36.8;6;8.9;22.2;7;2.8;4.8;10.9;11.9
17.5;74.7;36.5;5.9;8.8;22;7;2.8;4.8;10.8;11.8
17.3;73.8;36.1;5.8;8.7;21.8;6.9;2.7;4.7;10.7;11.6
16.7;71.3;34.9;5.6;8.4;21.1;6.7;2.7;4.6;10.3;11.3
16.3;69.6;34;5.5;8.2;20.6;6.5;2.6;4.5;10.1;11
16;68.3;33.4;5.4;8;20.2;6.4;2.5;4.4;9.9;10.8
16;68.3;33.4;5.4;8;20.2;6.4;2.5;4.4;9.9;10.8
16.3;69.7;34.1;5.5;8.2;20.6;6.5;2.6;4.5;10.1;11
16.9;72.1;35.3;5.7;8.5;21.3;6.8;2.7;4.6;10.5;11.4
