date;time
2018-Jan-01;00:00
2018-Jan-01;00:35
2018-Jan-01;01:10
2018-Jan-01;01:45
2018-Jan-01;02:20
2018-Jan-01;02:55
2018-Jan-01;03:30
2018-Jan-01;04:05
2018-Jan-01;04:40
2018-Jan-01;05:15
2018-Jan-01;05:50
2018-Jan-01;06:25
2018-Jan-01;07:00
2018-Jan-01;07:35
2018-Jan-01;08:10
2018-Jan-01;08:45
2018-Jan-01;09:20
2018-Jan-01;09:55
2018-Jan-01;10:30
2018-Jan-01;11:05
2018-Jan-01;11:40
2018-Jan-01;12:15
2018-Jan-01;12:50
2018-Jan-01;13:25
2018-Jan-01;14:00
2018-Jan-01;14:35
2018-Jan-01;15:10
2018-Jan-01;15:45
2018-Jan-01;16:20
2018-Jan-01;16:55
2018-Jan-01;17:30
2018-Jan-01;18:05
2018-Jan-01;18:40
2018-Jan-01;19:15
2018-Jan-01;19:50
2018-Jan-01;20:25
2018-Jan-01;21:00
2018-Jan-01;21:35
2018-Jan-01;22:10
2018-Jan-01;22:45
2018-Jan-01;23:20
2018-Jan-01;23:55
2018-Jan-02;00:30
2018-Jan-02;01:05
2018-Jan-02;01:40
2018-Jan-02;02:15
2018-Jan-02;02:50
2018-Jan-02;03:25
2018-Jan-02;04:00
2018-Jan-02;04:35
2018-Jan-02;05:10
2018-Jan-02;05:45
2018-Jan-02;06:20
2018-Jan-02;06:55
2018-Jan-02;07:30
2018-Jan-02;08:05
2018-Jan-02;08:40
2018-Jan-02;09:15
2018-Jan-02;09:50
2018-Jan-02;10:25
2018-Jan-02;11:00
2018-Jan-02;11:35
2018-Jan-02;12:10
2018-Jan-02;12:45
2018-Jan-02;13:20
2018-Jan-02;13:55
2018-Jan-02;14:30
2018-Jan-02;15:05
2018-Jan-02;15:40
2018-Jan-02;16:15
2018-Jan-02;16:50
2018-Jan-02;17:25
2018-Jan-02;18:00
2018-Jan-02;18:35
2018-Jan-02;19:10
2018-Jan-02;19:45
2018-Jan-02;20:20
2018-Jan-02;20:55
