1_G137.1;3_G36.31;6_G63.29;2_G-56.47;8_G40.43
78.9;23.8;113.5;0;0
71;23.5;115.6;0;0
58.4;23.5;114.4;0;0
56.2;24.5;115.5;0;0
52.3;24.9;112.6;0;0
44.3;24.4;116.4;0;0
39.3;23.6;116.1;0;0
35.6;22.8;115.8;0;0
35;21.3;117.1;0;0
35.4;20.3;116.3;0;0
37.7;18.8;115.8;0;0
39.8;18.8;114.7;0;0
40.6;18.1;118;0;0
41.9;17.7;117.1;0.9;1.1
39.7;17.7;117.1;3.5;4.6
35.6;16.5;116.2;7.7;10.2
33.1;16.5;115.2;12;15.3
31.6;16;116;15.7;18.9
31.9;15.6;115.1;18;20.8
32.5;15.5;114.1;19;21.2
36.1;15.8;116.6;18.7;21
41.7;15.3;118.4;18;20.2
48.5;15.2;116.4;16.5;19
45.8;14.9;117.5;14;17
44.6;14.8;116.7;11;14.5
47.5;14.9;117.7;7.6;10.7
50.4;15.2;114.4;4.1;6.5
52.1;15.6;116.2;1.5;2.3
54;15.6;116;0.1;0.2
53.4;15.3;119.4;0;0
56.4;15.2;115.7;0;0
63.7;14.8;116.5;0;0
72.1;14.6;117.3;0;0
81.1;14.4;118;0;0
82.5;14.3;117.6;0;0
79.1;14;117.4;0;0
79.1;13.5;118;0;0
75.1;13.3;118;0;0
75.3;12.8;117.2;0;0
83.2;12.5;118.6;0;0
88.9;12.5;118.4;0;0
88.1;12.4;118.3;0;0
77.5;12.3;116.1;0;0
67.1;12.1;117.6;0;0
65.6;11.9;116.6;0;0
62.4;12.1;117.3;0;0
57.2;12.3;115.8;0;0
51.2;12.7;117.2;0;0
47.6;13.5;119.7;0;0
46.5;14;116.9;0;0
50.5;14.4;119.3;0;0
58.1;14.8;116.9;0;0
70.2;14.8;116.9;0;0
83;14.7;118.3;0;0
93.8;14.2;119;1;1.1
94.3;14.2;119.5;4.2;4.6
85;14.1;117.6;9.6;10.6
78.5;14.7;118.6;14.1;17
70.3;15.4;121;17.6;22
62.9;17.1;119.7;20;26.9
59.7;18.6;119.2;20.7;29.8
59.1;20.6;117.1;19.9;30.3
63.3;20.6;119.6;18.2;29.5
65.7;19.5;119.5;16.4;28.4
70.6;18.3;118.9;14.3;25
74.4;17.1;118.3;11.5;21.7
81.9;17.7;118.7;7.9;15.4
86.1;19.2;118.4;4.3;8.9
89.3;20.6;119.2;1.7;3.5
90.1;20.8;116.8;0.4;0.7
90.5;20.3;117;0;0
90.6;19.5;118.6;0;0
96.5;19.4;118.1;0;0
103.7;19.7;117.9;0;0
107.7;21;120.1;0;0
102.2;21.8;119.7;0;0
98.1;22.9;117.8;0;0
91.2;22.2;118.4;0;0
86.6;21.1;120.3;0;0
83.3;20.5;119.6;0;0
88.6;19.4;118.8;0;0
94.9;18.5;119.6;0;0
92.7;18;120.5;0;0
83.6;17.9;118.6;0;0
71.6;18.1;119.1;0;0
67.4;18;119.1;0;0
