2_C-10.61;3_C151.15;4_C-9.47;5_C201.84;6_C-6.27;9_C130.49;10_C228.66;11_C-138.89;12_C-27.88;13_C-13.33;14_C63.6
13.5;58.7;28.6;4.9;6.6;17.5;5;2.1;3.6;8.1;8.9
13;56.9;27.7;4.6;6.5;17.1;4.9;2.1;3.6;7.9;8.6
12.4;55.6;26.6;4.5;6.4;16.5;4.8;2;3.4;7.7;8.2
12.2;52.3;26;4.3;6;16.1;4.6;1.9;3.2;7.2;8.1
12;51.6;25.6;4.3;5.9;16;4.5;1.9;3.2;7.1;7.8
11.9;53;25;4.3;5.9;15.9;4.5;1.9;3.2;7.2;8
11.7;50.5;25.4;4.3;5.9;15.6;4.4;1.9;3.2;7;7.9
11.6;51.5;25.1;4.2;5.9;15.4;4.4;1.9;3.1;7.1;7.7
11.4;50.4;24.6;4.1;5.7;15.2;4.3;1.8;3.1;6.9;7.5
11.1;48;24.2;4;5.5;14.9;4.3;1.8;3;6.7;7.4
11;48.4;23.7;3.9;5.4;14.2;4.1;1.7;3;6.6;7.3
10.6;48;23.2;3.9;5.4;14.2;4;1.7;3;6.4;7.2
10.5;45.8;22.7;4;5.3;14.1;4;1.7;2.9;6.5;7.1
10.6;46.2;22.8;3.8;5.3;14;4;1.7;2.9;6.4;7.1
10.6;45.6;22.6;3.8;5.2;14.1;3.9;1.7;2.8;6.3;6.9
10.4;46.2;22.6;3.8;5.3;14;3.9;1.7;2.8;6.3;6.9
10.2;46.3;22.6;3.8;5.2;14.3;4;1.7;2.9;6.3;7
10.6;46.6;23;3.9;5.4;14.3;4;1.7;2.9;6.4;7.1
10.5;47.3;23.2;3.8;5.4;14.3;4;1.7;2.9;6.5;7
10.9;47.2;23.8;4;5.6;14.6;4.1;1.8;2.9;6.6;7.2
11.2;47.9;23.6;4;5.5;14.6;4.1;1.7;3;6.7;7.3
11.1;48;23.9;4.1;5.6;14.6;4.1;1.8;3;6.7;7.3
11.1;49.4;24.4;4.1;5.7;15;4.3;1.8;3.1;7;7.5
11.5;49.4;24.4;4.1;5.7;15.5;4.3;1.9;3.1;7;7.6
11.5;50;25.2;4.2;5.8;15.4;4.4;1.9;3.1;7;7.8
11.7;51.2;25.3;4.2;5.9;15.7;4.5;1.9;3.1;7.2;7.9
12.1;53.4;25.6;4.4;6.1;16;4.5;1.9;3.2;7.3;8
12.2;53.2;26.7;4.5;6.1;16.2;4.7;2;3.3;7.4;8.1
12.5;54.9;27.2;4.5;6.3;16.7;4.8;2;3.3;7.6;8.4
12.5;54.6;27.3;4.5;6.4;16.9;4.7;2;3.4;7.8;8.3
13;56.2;27.1;4.6;6.4;17;4.9;2;3.4;7.8;8.5
12.8;54.9;27.1;4.6;6.4;17;4.8;2.1;3.5;7.9;8.5
12.8;54.7;28.1;4.7;6.4;16.8;4.7;2.1;3.5;7.8;8.7
12.6;56.3;27.4;4.6;6.4;17.2;4.8;2.1;3.5;7.8;8.7
12.8;56.9;28.1;4.7;6.5;17;4.9;2;3.6;7.8;8.5
12.5;56.9;27.6;4.7;6.5;17.3;5;2.1;3.5;7.8;8.7
13.1;57.2;28;4.7;6.6;17.5;4.9;2.1;3.5;7.9;8.6
13.1;58.2;28.4;4.8;6.6;17.5;5;2.1;3.5;8.1;8.8
13;57.6;28.7;4.7;6.6;17.8;5;2.1;3.6;8;9
13.3;58.7;28.8;4.8;6.7;17.8;5;2.1;3.6;8.2;8.9
13;56.5;28.6;4.7;6.6;17.5;4.9;2.1;3.4;7.9;8.7
12.8;55.4;27.5;4.7;6.4;17.2;4.9;2.1;3.4;7.8;8.5
12.3;54.8;27.3;4.6;6.3;16.6;4.8;2;3.4;7.6;8.6
12.3;54.8;27.3;4.6;6.2;16.8;4.7;2;3.4;7.6;8.4
12.5;53.8;26.7;4.5;6.2;16.4;4.7;2;3.4;7.5;8.2
12.2;53.7;26.9;4.4;6.2;16.4;4.5;2;3.3;7.3;8.1
12;52.9;26.1;4.4;6.1;15.7;4.6;1.9;3.2;7.2;8.1
12;52.6;25.9;4.3;6.1;15.8;4.5;1.9;3.3;7.2;7.9
11.8;52.7;25.9;4.4;6;15.7;4.4;1.9;3.2;7.1;7.9
11.8;52.4;25.4;4.3;5.9;15.4;4.4;2;3.2;7.2;7.8
11.7;51.8;25.3;4.3;5.8;15.5;4.3;1.9;3.2;7.1;7.9
11.4;51;25.8;4.2;5.9;15.7;4.5;1.9;3.2;7;7.9
11.7;51.3;25.4;4.3;5.9;15.8;4.4;1.9;3.2;7;7.8
12;51.2;25.9;4.3;6.1;16.1;4.5;1.9;3.3;7.2;8
12.2;54.2;26.2;4.5;6;16;4.6;2;3.2;7.2;8.1
12.3;53.2;26.6;4.5;6.2;16.6;4.7;2;3.4;7.3;8.3
12.6;54.3;27.5;4.5;6.3;16.9;4.8;2;3.4;7.6;8.4
