2_C-10.61;3_C151.15;4_C-9.47;5_C201.84;6_C-6.27;9_C130.49;10_C228.66;11_C-138.89;12_C-27.88;13_C-13.33;14_C63.6
19;81.8;41.8;6.7;9.8;25.4;8.2;3;5.4;11.7;12.9
18;79.4;39.4;6.3;9.3;24.3;7.7;2.8;5.3;10.9;12.5
16.6;75.3;37.7;6.2;8.9;22.9;7.4;2.7;5;10.4;11.8
16.9;73.3;37.1;6.1;8.6;22.4;7.3;2.6;4.9;10.4;11.6
16.9;73.9;37.4;6;8.7;22.5;7.2;2.6;4.8;10.3;11.4
16.1;71.2;35.9;5.8;8.4;21.7;7;2.5;4.6;10;11.3
16;68.9;35;5.5;8.2;21;6.8;2.5;4.5;9.7;11
15.5;68.7;33.3;5.5;8.1;20.9;6.8;2.4;4.5;9.5;10.7
15.7;65.8;35.1;5.5;8.2;20.7;6.7;2.4;4.5;9.7;10.6
15.7;71.4;35.6;5.7;8.3;20.7;6.9;2.5;4.6;9.8;10.9
16.4;73.9;37.7;5.8;8.6;22.1;7.2;2.5;4.7;10.1;11.3
17.6;76.3;38.9;6.4;9.1;23.3;7.6;2.8;5.1;10.7;12.1
18.4;81.7;40.8;6.7;9.7;24.7;8;2.9;5.4;11.4;12.7
19.8;85.1;44;6.9;10.3;26.6;8.5;3.1;5.7;11.8;13.6
20.2;89.1;44.2;7.1;10.4;27;8.6;3.1;5.8;12.3;13.6
20.5;87.6;44.9;7.4;10.6;26.9;8.8;3.2;5.9;12.5;13.9
20.8;89.1;45.1;7.4;10.8;27;9;3.2;6;12.7;14.3
20.9;91.5;45.6;7.4;10.8;27.5;9;3.2;6;12.7;14.3
21;92.3;46;7.3;11;27.4;9;3.3;5.9;12.5;14.3
20.7;91.3;46.4;7.3;10.8;27.6;9;3.2;6.1;12.8;14.4
21.2;92.1;46.2;7.5;11;27.7;9;3.4;6;12.9;14.4
21;91.7;45.5;7.4;10.9;27.7;9.1;3.2;6;13;14.6
20.5;90.6;45;7.5;10.7;27.4;9.1;3.3;6.1;12.8;14.2
20.4;90.8;45.3;7.4;10.7;27.1;9;3.3;5.8;12.6;14.3
20.3;86.9;44.7;7.2;10.4;27.1;8.8;3.1;5.9;12.4;14.1
20.7;88.8;45;7.1;10.7;26.8;8.7;3.2;5.7;12.3;13.9
19.6;85.5;43.7;7.1;10.1;26;8.5;3;5.7;11.9;13.8
19.6;84.5;43.2;7;10.1;25.7;8.4;3.1;5.6;12;13.3
19;82.9;42.6;6.9;10.2;25.3;8.3;3;5.5;11.8;13.4
19.4;83.9;41.4;6.8;9.9;25.3;8.3;3;5.5;11.9;13.1
19.3;83.8;42.1;6.9;10.2;25.7;8.2;3;5.6;11.8;13.4
19.7;85.2;43.1;6.9;10.1;26.3;8.5;3.1;5.6;12;13.3
20.1;87.9;44.2;7.2;10.5;26.9;8.8;3.2;5.9;12.4;13.9
20.4;89.4;45.8;7.3;10.8;27;9;3.2;5.9;12.6;14.2
20;88.5;44.9;7.2;10.5;27.4;8.8;3.2;5.9;12.6;14.2
20.1;88;43.5;7.1;10.3;26;8.4;3.1;5.7;11.9;13.7
19.3;83.7;42.1;6.9;10.2;25.5;8.3;3;5.4;11.6;13.4
18.8;82.5;40.9;6.7;9.7;24.8;8.2;2.9;5.4;11.5;12.9
18.5;81.4;41.5;6.6;9.6;24;7.9;2.8;5.3;11.3;12.7
19.1;84.2;41.8;6.7;10;25;8.3;2.9;5.4;11.8;12.9
19.3;85;42.5;6.8;10;25.4;8.3;3;5.6;11.7;13.6
19.2;82.9;41.9;6.8;9.8;25;8.2;3;5.5;11.9;13.1
18.6;79.7;40.3;6.5;9.5;24.5;7.9;2.8;5.3;11.5;12.7
17.3;75.3;38;6.2;9;22.8;7.3;2.7;5;10.6;12
17.1;74;37.8;6.1;8.8;22.6;7.5;2.7;4.8;10.6;11.8
16.9;72.9;36.9;6;8.7;22.1;7.3;2.7;4.9;10.6;11.8
16.7;72.3;36.4;5.9;8.5;21.4;7.1;2.6;4.7;10.1;11.5
16.1;69.5;35.8;5.8;8.5;21.4;6.9;2.5;4.6;9.9;11
15.6;69.5;34.8;5.6;7.9;20.4;6.8;2.4;4.5;9.6;10.7
15.6;68.2;34.8;5.6;8.2;20.9;6.8;2.5;4.5;9.5;10.9
15.8;70.2;35.1;5.7;8.4;21.3;6.9;2.5;4.6;9.7;11
16.5;72.4;37;5.9;8.6;21.6;7.2;2.6;4.7;10.2;11.5
17.6;75.3;38.6;6.2;9.1;23.9;7.7;2.7;5.1;10.7;12.2
18.3;81.1;41;6.6;9.6;24.2;8;2.8;5.3;11.3;13
19.5;84.8;43.1;7.1;10.3;26.3;8.6;3.1;5.7;12.2;13.5
20.6;86.9;44.4;7.1;10.5;26.1;8.9;3.2;5.9;12.3;13.9
20.8;89.7;44.5;7.1;10.8;26.9;9.1;3.2;5.9;12.6;14.3
20.6;90.7;46.5;7.4;10.7;27.7;9.1;3.2;5.9;12.8;14.2
21.1;91.2;46.5;7.5;11;28.2;9.2;3.3;6;13;14.4
21;91.5;46.9;7.5;11;27.7;9.1;3.2;6.1;13;14.4
21.1;91.7;46.2;7.4;10.9;27.6;9.1;3.3;5.9;13.2;14.5
21;90;46.6;7.5;10.9;27.6;9;3.3;6.1;13;14.9
21.2;92.1;46.2;7.5;11.1;27.9;9.2;3.3;6.1;13;14.7
21.1;93.2;46.3;7.4;10.9;27.5;9;3.3;6.1;13;14.4
20.8;90.8;46;7.4;10.8;27.3;9;3.3;6;12.6;14.3
20.7;90.9;45.7;7.3;10.6;27.2;8.9;3.3;6;12.5;14.1
20.3;88.2;45.5;7.4;10.5;26.8;8.9;3.2;6;12.2;13.8
20.2;86.5;44.4;7.1;10.5;26.3;8.7;3.2;5.7;12.4;13.9
19.7;85.7;43.4;7.1;10;26.1;8.5;3;5.7;12.2;13.8
19.7;85.1;44;7;10.2;26.3;8.6;3;5.5;12;13.7
19.6;86.3;43;7.1;10;25.4;8.4;3;5.6;11.8;13.5
19.3;84.7;42.5;7;10.2;25.8;8.5;3;5.6;11.9;13.3
19.8;87;43.3;7.1;10.4;26.4;8.7;3.1;5.8;12.2;13.8
