2_C-10.61;3_C151.15;4_C-9.47;5_C201.84;6_C-6.27;9_C130.49;10_C228.66;11_C-138.89;12_C-27.88;13_C-13.33;14_C63.6
13.1;57.6;29.1;4.7;6.8;17.4;5.7;2.1;3.8;8;9.1
12.4;54.6;27.6;4.4;6.5;16.5;5.4;1.9;3.6;7.6;8.6
11.9;52.3;26.4;4.3;6.2;15.8;5.2;1.9;3.4;7.3;8.2
11.8;51.8;26.1;4.2;6.1;15.7;5.1;1.8;3.4;7.2;8.2
11.7;51.3;25.9;4.2;6.1;15.5;5.1;1.8;3.4;7.2;8.1
11.3;49.4;24.9;4;5.9;15;4.9;1.8;3.3;6.9;7.8
11;48.3;24.4;3.9;5.7;14.6;4.8;1.7;3.2;6.8;7.6
10.9;47.6;24;3.9;5.6;14.4;4.7;1.7;3.1;6.6;7.5
10.9;47.7;24.1;3.9;5.7;14.4;4.7;1.7;3.1;6.7;7.5
11.2;49.1;24.8;4;5.8;14.9;4.9;1.8;3.2;6.9;7.7
11.6;50.9;25.7;4.1;6;15.4;5;1.8;3.3;7.1;8
12.4;54.4;27.5;4.4;6.5;16.5;5.4;1.9;3.6;7.6;8.6
13.2;57.6;29.1;4.7;6.8;17.4;5.7;2.1;3.8;8.1;9.1
13.8;60.5;30.5;4.9;7.2;18.3;6;2.2;4;8.5;9.5
14.1;61.8;31.2;5;7.3;18.7;6.1;2.2;4.1;8.6;9.7
14.3;62.6;31.6;5.1;7.4;18.9;6.2;2.2;4.1;8.8;9.9
14.5;63.4;32;5.2;7.5;19.2;6.3;2.3;4.2;8.9;10
14.5;63.6;32.1;5.2;7.5;19.2;6.3;2.3;4.2;8.9;10
14.5;63.6;32.1;5.2;7.5;19.2;6.3;2.3;4.2;8.9;10
14.6;63.7;32.1;5.2;7.6;19.3;6.3;2.3;4.2;8.9;10
14.7;64.1;32.4;5.2;7.6;19.4;6.3;2.3;4.2;9;10.1
14.6;63.8;32.2;5.2;7.6;19.3;6.3;2.3;4.2;8.9;10
14.6;63.8;32.2;5.2;7.6;19.3;6.3;2.3;4.2;8.9;10.1
14.3;62.7;31.7;5.1;7.4;19;6.2;2.2;4.1;8.8;9.9
14.2;62.2;31.4;5.1;7.4;18.8;6.1;2.2;4.1;8.7;9.8
14.1;61.6;31.1;5;7.3;18.6;6.1;2.2;4;8.6;9.7
13.8;60.3;30.4;4.9;7.2;18.2;6;2.2;4;8.4;9.5
13.6;59.5;30.1;4.9;7.1;18;5.9;2.1;3.9;8.3;9.4
13.5;58.9;29.7;4.8;7;17.8;5.8;2.1;3.9;8.2;9.3
13.4;58.6;29.6;4.8;7;17.7;5.8;2.1;3.9;8.2;9.2
13.5;59.1;29.8;4.8;7;17.9;5.8;2.1;3.9;8.3;9.3
