2_C-10.61;3_C151.15;4_C-9.47;5_C201.84;6_C-6.27;9_C130.49;10_C228.66;11_C-138.89;12_C-27.88;13_C-13.33;14_C63.6
12.7;57;28.2;4.5;6.4;17.3;5.3;2;3.6;7.5;8.4
12.4;54.6;27.4;4.5;6.3;16.7;5.2;2;3.5;7.3;8.1
11.8;52.9;26.5;4.2;6.1;16.3;5.1;1.9;3.4;7;7.9
11.8;51.7;26;4;5.9;15.9;4.9;1.8;3.3;6.8;7.7
11.4;50.5;25.6;4.1;5.8;15.4;4.8;1.8;3.3;6.8;7.6
11.4;50.5;25;4;5.8;15.6;4.8;1.8;3.3;6.8;7.3
11.3;50.5;24.6;4;5.8;15.5;4.6;1.8;3.3;6.7;7.4
11.1;49.8;25.1;3.9;5.7;15.4;4.7;1.8;3.2;6.7;7.4
10.9;48.2;24.4;3.8;5.5;14.7;4.7;1.7;3.2;6.4;7.2
10.7;47;23.8;3.8;5.4;14.6;4.5;1.7;3;6.4;7
10.4;46.7;23.2;3.7;5.3;14.3;4.5;1.6;3;6.2;7
10.2;44.3;22.7;3.6;5.2;14.1;4.3;1.6;2.9;6.2;6.6
10.2;44.9;22.2;3.6;5.2;13.7;4.3;1.6;2.9;6;6.6
9.9;44.2;22;3.6;5.1;13.8;4.2;1.5;2.9;6;6.4
10;44.2;21.8;3.5;5.1;13.4;4.2;1.5;2.9;5.9;6.5
9.7;44.4;21.7;3.5;5.1;13.4;4.2;1.6;2.8;5.8;6.4
10.1;43.8;22.1;3.4;5.1;13.6;4.2;1.5;2.9;5.8;6.5
10;44.4;21.6;3.5;5.1;13.6;4.2;1.6;2.9;5.8;6.5
10;44.5;21.9;3.6;5.1;13.3;4.2;1.6;2.9;5.9;6.5
9.8;43.6;21.8;3.5;5.1;13.5;4.3;1.6;2.9;6;6.5
10;43.9;22.4;3.6;5.1;13.5;4.3;1.6;2.9;6;6.7
9.9;44.6;22;3.5;5.1;13.6;4.3;1.6;2.9;6;6.6
10.4;45.3;22.3;3.6;5.2;13.6;4.3;1.6;2.9;6.1;6.7
10.3;45.9;22.3;3.6;5.2;14;4.4;1.6;3;6.1;6.8
10.5;46.6;23.2;3.7;5.3;13.9;4.4;1.6;2.9;6.2;6.7
10.6;46.8;23.3;3.7;5.4;14.1;4.4;1.7;3;6.3;6.8
10.7;46.5;23.6;3.7;5.4;14.5;4.5;1.7;3.1;6.3;7.1
10.9;48.9;24;3.9;5.6;14.9;4.6;1.7;3.2;6.5;7.2
11.1;49.2;24.8;3.9;5.8;15.4;4.8;1.8;3.2;6.7;7.3
