2_C-10.61;3_C151.15;4_C-9.47;5_C201.84;6_C-6.27;9_C130.49;10_C228.66;11_C-138.89;12_C-27.88;13_C-13.33;14_C63.6
12.3;53.7;28.6;4.6;6.3;17.3;5.3;2;3.4;7.4;8.7
11.7;51.1;27.3;4.3;6;16.4;5.1;1.9;3.2;7.1;8.3
11.3;49;26.1;4.2;5.8;15.8;4.9;1.8;3.1;6.8;7.9
11.1;48.5;25.9;4.1;5.7;15.6;4.8;1.8;3.1;6.7;7.8
11;48;25.6;4.1;5.7;15.4;4.8;1.8;3;6.6;7.8
10.6;46.2;24.6;3.9;5.5;14.8;4.6;1.7;2.9;6.4;7.5
10.3;45.1;24;3.8;5.3;14.5;4.5;1.7;2.9;6.2;7.3
10.2;44.4;23.7;3.8;5.3;14.3;4.4;1.6;2.8;6.1;7.2
10.3;44.7;23.8;3.8;5.3;14.4;4.4;1.6;2.8;6.2;7.2
10.6;46.3;24.6;3.9;5.5;14.9;4.6;1.7;2.9;6.4;7.5
11.1;48.2;25.7;4.1;5.7;15.5;4.8;1.8;3.1;6.7;7.8
11.9;51.7;27.5;4.4;6.1;16.6;5.1;1.9;3.3;7.2;8.4
12.6;54.8;29.2;4.7;6.5;17.6;5.4;2;3.5;7.6;8.9
13.2;57.6;30.6;4.9;6.8;18.5;5.7;2.1;3.7;8;9.3
13.5;59;31.4;5;7;19;5.8;2.2;3.7;8.2;9.5
13.8;60.1;31.9;5.1;7.1;19.3;5.9;2.2;3.8;8.3;9.7
14;61.1;32.4;5.2;7.2;19.6;6;2.2;3.9;8.4;9.9
14.1;61.5;32.7;5.2;7.3;19.7;6.1;2.3;3.9;8.5;9.9
14.1;61.7;32.7;5.2;7.3;19.8;6.1;2.3;3.9;8.5;10
14.2;61.9;32.8;5.2;7.3;19.9;6.1;2.3;3.9;8.6;10
14.3;62.4;33.1;5.3;7.4;20;6.2;2.3;4;8.6;10.1
14.3;62.3;33;5.3;7.4;20;6.2;2.3;4;8.6;10.1
14.3;62.5;33.2;5.3;7.4;20.1;6.2;2.3;4;8.7;10.1
14.1;61.5;32.6;5.2;7.3;19.7;6.1;2.3;3.9;8.5;9.9
14;61;32.3;5.2;7.2;19.6;6;2.2;3.9;8.4;9.9
13.8;60.3;32;5.1;7.2;19.4;6;2.2;3.8;8.4;9.8
13.5;59.1;31.3;5;7;18.9;5.8;2.2;3.8;8.2;9.6
13.4;58.3;30.9;4.9;6.9;18.7;5.8;2.1;3.7;8.1;9.4
13.2;57.7;30.5;4.9;6.8;18.5;5.7;2.1;3.7;8;9.3
13.1;57.4;30.4;4.9;6.8;18.4;5.7;2.1;3.6;8;9.3
13.2;57.9;30.6;4.9;6.9;18.6;5.7;2.1;3.7;8;9.4
13.5;59.2;31.3;5;7;19;5.8;2.2;3.8;8.2;9.6
14;61;32.3;5.2;7.2;19.6;6;2.2;3.9;8.5;9.9
14.2;62.1;32.8;5.3;7.4;19.9;6.1;2.3;3.9;8.6;10
14;61.2;32.3;5.2;7.3;19.6;6;2.2;3.9;8.5;9.9
13.6;59.3;31.3;5;7;19;5.8;2.2;3.8;8.2;9.6
13.2;57.6;30.4;4.9;6.8;18.5;5.7;2.1;3.7;8;9.3
12.9;56.3;29.7;4.8;6.7;18;5.5;2.1;3.6;7.8;9.1
12.7;55.6;29.3;4.7;6.6;17.8;5.5;2;3.5;7.7;9
13.3;58.1;30.7;4.9;6.9;18.6;5.7;2.1;3.7;8.1;9.4
13.3;58.1;30.7;4.9;6.9;18.6;5.7;2.1;3.7;8.1;9.4
13.1;57.5;30.4;4.9;6.8;18.4;5.7;2.1;3.7;8;9.3
12.5;54.9;28.9;4.6;6.5;17.6;5.4;2;3.5;7.6;8.9
11.9;52.1;27.5;4.4;6.2;16.7;5.1;1.9;3.3;7.2;8.4
11.8;51.7;27.2;4.4;6.1;16.5;5.1;1.9;3.3;7.2;8.4
11.7;51.1;27;4.3;6.1;16.4;5;1.9;3.2;7.1;8.3
11.3;49.4;26.1;4.2;5.9;15.8;4.9;1.8;3.1;6.9;8
11;48.3;25.4;4.1;5.7;15.5;4.7;1.8;3.1;6.7;7.8
10.8;47.4;25;4;5.6;15.2;4.7;1.7;3;6.6;7.7
10.8;47.5;25;4;5.7;15.2;4.7;1.7;3;6.6;7.7
11.1;48.6;25.6;4.1;5.8;15.6;4.8;1.8;3.1;6.8;7.9
11.5;50.4;26.5;4.3;6;16.1;4.9;1.8;3.2;7;8.2
12.2;53.7;28.2;4.5;6.4;17.2;5.3;2;3.4;7.5;8.7
13;56.9;29.9;4.8;6.8;18.2;5.6;2.1;3.6;7.9;9.2
13.7;60;31.5;5.1;7.1;19.2;5.9;2.2;3.8;8.3;9.7
14;61.4;32.3;5.2;7.3;19.6;6;2.2;3.9;8.5;9.9
14.2;62.3;32.8;5.3;7.4;19.9;6.1;2.3;4;8.7;10.1
14.4;63;33.1;5.3;7.5;20.2;6.2;2.3;4;8.8;10.2
14.5;63.4;33.3;5.3;7.5;20.3;6.2;2.3;4;8.8;10.2
14.5;63.4;33.3;5.4;7.6;20.3;6.2;2.3;4;8.8;10.2
14.5;63.5;33.3;5.4;7.6;20.3;6.2;2.3;4;8.8;10.3
14.6;63.8;33.5;5.4;7.6;20.4;6.3;2.3;4.1;8.9;10.3
14.5;63.7;33.4;5.4;7.6;20.4;6.2;2.3;4;8.9;10.3
14.5;63.6;33.4;5.4;7.6;20.3;6.2;2.3;4;8.9;10.3
14.3;62.7;32.9;5.3;7.5;20;6.1;2.3;4;8.7;10.1
14.1;62;32.5;5.2;7.4;19.8;6.1;2.3;3.9;8.6;10
14;61.6;32.3;5.2;7.3;19.7;6;2.3;3.9;8.6;10
13.7;60.2;31.6;5.1;7.2;19.2;5.9;2.2;3.8;8.4;9.7
13.6;59.5;31.2;5;7.1;19;5.8;2.2;3.8;8.3;9.6
13.4;58.8;30.8;5;7;18.8;5.8;2.1;3.7;8.2;9.5
13.3;58.5;30.6;4.9;7;18.7;5.7;2.1;3.7;8.2;9.5
13.4;58.9;30.8;5;7;18.8;5.8;2.2;3.7;8.2;9.5
13.7;60.1;31.5;5.1;7.2;19.2;5.9;2.2;3.8;8.4;9.7
14;61.7;32.3;5.2;7.4;19.7;6;2.3;3.9;8.6;10
14.3;63;33;5.3;7.5;20.1;6.2;2.3;4;8.8;10.2
14.2;62.2;32.5;5.2;7.4;19.8;6.1;2.3;4;8.7;10.1
13.7;60.4;31.6;5.1;7.2;19.3;5.9;2.2;3.8;8.4;9.8
13.3;58.6;30.6;4.9;7;18.7;5.7;2.1;3.7;8.2;9.5
13.1;57.3;30;4.8;6.8;18.3;5.6;2.1;3.6;8;9.3
12.8;56.4;29.5;4.8;6.7;18;5.5;2.1;3.6;7.9;9.1
13.3;58.3;30.5;4.9;7;18.6;5.7;2.1;3.7;8.1;9.4
13.4;59;30.8;5;7;18.8;5.8;2.2;3.8;8.2;9.5
13.3;58.3;30.5;4.9;7;18.6;5.7;2.1;3.7;8.1;9.4
12.7;56;29.2;4.7;6.7;17.9;5.5;2;3.6;7.8;9.1
12;52.8;27.6;4.4;6.3;16.8;5.2;1.9;3.4;7.4;8.5
11.9;52.4;27.4;4.4;6.3;16.7;5.1;1.9;3.3;7.3;8.5
11.8;51.8;27;4.4;6.2;16.5;5;1.9;3.3;7.2;8.4
11.4;50.3;26.2;4.2;6;16;4.9;1.8;3.2;7;8.1
11.1;48.9;25.5;4.1;5.9;15.6;4.8;1.8;3.1;6.8;7.9
10.9;48;25;4;5.7;15.3;4.7;1.8;3.1;6.7;7.8
10.9;48;25;4;5.7;15.3;4.7;1.8;3.1;6.7;7.8
11.1;48.8;25.4;4.1;5.8;15.6;4.8;1.8;3.1;6.8;7.9
11.5;50.7;26.4;4.3;6.1;16.2;4.9;1.8;3.2;7.1;8.2
12.2;53.6;27.9;4.5;6.4;17.1;5.2;2;3.4;7.5;8.7
12.9;56.8;29.6;4.8;6.8;18.1;5.5;2.1;3.6;7.9;9.2
